,wavelength,flux,sigma
1,5.187,0.30391999999999997,0.01169
2,5.2172,0.31597,0.00868
3,5.2475,0.33061,0.00331
4,5.2777,0.32572,0.0032600000000000003
5,5.308,0.32835,0.00352
6,5.3382,0.33612,0.00518
7,5.3685,0.34217,0.00728
8,5.3987,0.33269,0.00981
9,5.4289,0.32437,0.01324
10,5.4592,0.32961999999999997,0.0033
11,5.4894,0.32419000000000003,0.00324
12,5.5197,0.32156999999999997,0.00322
13,5.5499,0.32366,0.0035
14,5.5802,0.32938,0.00466
15,5.6104,0.31534,0.00503
16,5.6406,0.31682,0.00317
17,5.6709,0.31909,0.0031899999999999997
18,5.7011,0.31327,0.00313
19,5.7314,0.31936,0.0037
20,5.7616,0.31909,0.0057399999999999994
21,5.7918,0.31853000000000004,0.0031899999999999997
22,5.8221,0.31749,0.00317
23,5.8523,0.31081,0.0031100000000000004
24,5.8826,0.31417,0.00476
25,5.9128,0.31626,0.00316
26,5.943,0.32125,0.00472
27,5.9733,0.32216999999999996,0.00322
28,6.0035,0.31199,0.00312
29,6.0338,0.31375,0.0038
30,6.064,0.31954,0.010209999999999999
31,6.0943,0.32752,0.00611
32,6.1245,0.32326,0.00855
33,6.1547,0.32152,0.0114
34,6.185,0.32435,0.00742
35,6.2152,0.3212,0.00626
36,6.2455,0.32634,0.0032600000000000003
37,6.2757,0.31990999999999997,0.0032
38,6.306,0.31795,0.00318
39,6.3362,0.33002,0.0033
40,6.3664,0.32907,0.00329
41,6.3967,0.31588,0.00413
42,6.4269,0.31119,0.00381
43,6.4572,0.31396999999999997,0.00314
44,6.4874,0.31682,0.00556
45,6.5177,0.32036,0.0081
46,6.5479,0.31875,0.0035399999999999997
47,6.5781,0.32105,0.00321
48,6.6084,0.32092,0.00339
49,6.6386,0.32469000000000003,0.00325
50,6.6689,0.30659000000000003,0.00307
51,6.6991,0.29971,0.003
52,6.7294,0.31499,0.00379
53,6.7596,0.31082,0.00394
54,6.7898,0.32368,0.00324
55,6.8201,0.31022,0.0031
56,6.8503,0.31249,0.00702
57,6.8806,0.31183,0.00312
58,6.9108,0.30325,0.00303
59,6.941,0.30726,0.00307
60,6.9713,0.31975,0.0032
61,7.0015,0.31679,0.00317
62,7.0318,0.30777,0.00418
63,7.062,0.30834,0.01256
64,7.0922,0.31056,0.0031100000000000004
65,7.1225,0.31589,0.00316
66,7.1527,0.31179,0.00563
67,7.183,0.31378,0.00314
68,7.2132,0.31377,0.00314
69,7.2435,0.32058000000000003,0.00321
70,7.2737,0.32422,0.00539
71,7.3039,0.3169,0.00317
72,7.3342,0.30832,0.0033399999999999997
73,7.3644,0.29996999999999996,0.00455
74,7.3947,0.30459,0.0038
75,7.4249,0.31067,0.0031100000000000004
76,7.4552,0.31528,0.00315
77,7.4854,0.32815,0.00365
78,7.5156,0.30533000000000005,0.01127
79,7.5459,0.31597,0.00316
80,7.5761,0.31688,0.00317
81,7.6366,0.30177,0.00839
82,7.6971,0.29291999999999996,0.01022
83,7.7576,0.29812,0.00811
84,7.818,0.30599,0.00941
85,7.8785,0.31044,0.00967
86,7.939,0.31684,0.009609999999999999
87,7.9995,0.32422,0.00587
88,8.06,0.33043,0.00611
89,8.1205,0.33655999999999997,0.01069
90,8.181,0.34778000000000003,0.007390000000000001
91,8.2414,0.36393000000000003,0.0077599999999999995
92,8.3019,0.37859,0.007
93,8.3624,0.3868,0.0065
94,8.4229,0.39513000000000004,0.00863
95,8.4834,0.40749,0.00806
96,8.5439,0.42049,0.013319999999999999
97,8.6043,0.43213,0.01545
98,8.6648,0.43905,0.00886
99,8.7253,0.4511,0.01719
100,8.7858,0.47184,0.01658
101,8.8463,0.4878,0.01831
102,8.9068,0.4979,0.02359
103,8.9672,0.51625,0.02247
104,9.0277,0.53575,0.02471
105,9.0882,0.5545800000000001,0.017769999999999998
106,9.1487,0.57496,0.02534
107,9.2092,0.5938100000000001,0.01792
108,9.2697,0.61326,0.01768
109,9.3301,0.62128,0.01524
110,9.3906,0.62831,0.00921
111,9.4511,0.63908,0.01622
112,9.5116,0.6279899999999999,0.01721
113,9.5721,0.63667,0.01951
114,9.6326,0.63343,0.01208
115,9.6931,0.63761,0.01721
116,9.7535,0.6454,0.024919999999999998
117,9.814,0.64664,0.0218
118,9.8745,0.64963,0.0189
119,9.935,0.6532899999999999,0.02025
120,9.9955,0.65068,0.01958
121,10.056,0.64894,0.023530000000000002
122,10.1164,0.6476,0.0236
123,10.1769,0.64654,0.017169999999999998
124,10.2374,0.64575,0.01864
125,10.2979,0.63831,0.01771
126,10.3584,0.63042,0.01877
127,10.4188,0.63257,0.01441
128,10.4793,0.6260600000000001,0.00626
129,10.5398,0.62215,0.0088
130,10.6003,0.61675,0.011179999999999999
131,10.6608,0.6131800000000001,0.011909999999999999
132,10.7213,0.60878,0.01284
133,10.7817,0.6018399999999999,0.014169999999999999
134,10.8422,0.59738,0.01695
135,10.9027,0.59325,0.01116
136,10.9632,0.59126,0.01684
137,11.0237,0.5866899999999999,0.02387
138,11.0842,0.58341,0.02125
139,11.1447,0.57506,0.018080000000000002
140,11.2051,0.57439,0.022269999999999998
141,11.2656,0.5704899999999999,0.02452
142,11.3261,0.55975,0.01889
143,11.3866,0.55657,0.02255
144,11.4471,0.53952,0.01356
145,11.5076,0.53479,0.014819999999999998
146,11.568,0.51857,0.01542
147,11.6285,0.50984,0.01466
148,11.689,0.50588,0.01593
149,11.7495,0.49522,0.010320000000000001
150,11.81,0.4785,0.00911
151,11.8705,0.46735,0.0046700000000000005
152,11.9309,0.46631000000000006,0.00772
153,11.9914,0.45421999999999996,0.00852
154,12.0519,0.44714,0.01098
155,12.1124,0.44038999999999995,0.01215
156,12.1729,0.43044,0.008879999999999999
157,12.2334,0.42717,0.00919
158,12.2938,0.42618999999999996,0.00761
159,12.3543,0.42831,0.01144
160,12.4148,0.43204,0.01653
161,12.4753,0.43841,0.01315
162,12.5358,0.44011999999999996,0.01202
163,12.5963,0.43021000000000004,0.008759999999999999
164,12.6567,0.42946000000000006,0.01064
165,12.7172,0.4214,0.01015
166,12.7777,0.42276,0.0054
167,12.8382,0.42436,0.00424
168,12.8987,0.41443,0.00458
169,12.9592,0.41425,0.00414
170,13.0197,0.41086000000000006,0.00894
171,13.0801,0.41294,0.0051
172,13.1406,0.41308,0.008620000000000001
173,13.2011,0.41971,0.00521
174,13.2616,0.40984,0.012440000000000001
175,13.3221,0.41502,0.00466
176,13.3826,0.41596000000000005,0.00483
177,13.443,0.41776,0.012830000000000001
178,13.5035,0.41762,0.0057
179,13.564,0.42017,0.013309999999999999
180,13.6245,0.41765,0.0083
181,13.685,0.42036,0.00675
182,13.7455,0.42301000000000005,0.00914
183,13.8059,0.42316000000000004,0.0046700000000000005
184,13.8664,0.42688999999999994,0.015359999999999999
185,13.9269,0.43004,0.00911
186,13.9874,0.44358000000000003,0.00923
187,14.3234,0.46048,0.0046
188,14.4081,0.45656,0.00551
189,14.4927,0.45976999999999996,0.0066
190,14.5774,0.46005,0.00471
191,14.6621,0.45816,0.00458
192,14.7468,0.46155,0.00695
193,14.8315,0.45821000000000006,0.00689
194,14.9161,0.46875,0.00469
195,15.0008,0.46402,0.00636
196,15.0855,0.45088,0.00577
197,15.1701,0.45897,0.0045899999999999995
198,15.2548,0.46408999999999995,0.00464
199,15.3395,0.46746000000000004,0.0046700000000000005
200,15.4242,0.46795,0.00468
201,15.5089,0.47408,0.00474
202,15.5935,0.48113,0.00481
203,15.6782,0.49163999999999997,0.00492
204,15.7629,0.4905,0.0049
205,15.8476,0.49055,0.0076
206,15.9322,0.49688000000000004,0.00704
207,16.0169,0.50975,0.007679999999999999
208,16.1016,0.52247,0.005220000000000001
209,16.1863,0.5192100000000001,0.00519
210,16.271,0.51727,0.00517
211,16.3556,0.53317,0.01192
212,16.4403,0.53199,0.00532
213,16.525,0.53599,0.00536
214,16.6097,0.54275,0.00543
215,16.6943,0.5501,0.0055
216,16.779,0.5645600000000001,0.00565
217,16.8637,0.5663,0.00566
218,16.9484,0.58737,0.01593
219,17.033,0.5873,0.008409999999999999
220,17.1177,0.58922,0.00589
221,17.2024,0.60097,0.00601
222,17.2871,0.61375,0.00614
223,17.3717,0.62845,0.011640000000000001
224,17.4564,0.6372800000000001,0.006370000000000001
225,17.5411,0.63956,0.0064
226,17.6258,0.64078,0.006409999999999999
227,17.7105,0.66073,0.0066099999999999996
228,17.7951,0.65963,0.008
229,17.8798,0.64261,0.030780000000000002
230,17.9645,0.65684,0.02048
231,18.0492,0.6524399999999999,0.019790000000000002
232,18.1338,0.68321,0.0097
233,18.2185,0.70307,0.00703
234,18.3032,0.71231,0.0071200000000000005
235,18.3879,0.7096600000000001,0.0071
236,18.4725,0.72931,0.0072900000000000005
237,18.5572,0.7369399999999999,0.007370000000000001
238,18.6419,0.73025,0.0073
239,18.7266,0.75269,0.007529999999999999
240,18.8113,0.76163,0.009290000000000001
241,18.8959,0.76218,0.00762
242,18.9806,0.7699199999999999,0.01883
243,19.0653,0.74757,0.02125
244,19.15,0.76779,0.007679999999999999
245,19.2346,0.7642899999999999,0.02389
246,19.3193,0.7529600000000001,0.01886
247,19.404,0.76152,0.01523
248,19.4887,0.76242,0.03414
249,19.5734,0.73815,0.007379999999999999
250,19.658,0.74808,0.00748
251,19.7427,0.7439100000000001,0.00744
252,19.8274,0.7589199999999999,0.00759
253,19.9121,0.76326,0.00763
254,19.9967,0.7439899999999999,0.011770000000000001
255,20.0814,0.73274,0.00733
256,20.1661,0.72855,0.01439
257,20.2508,0.73356,0.00734
258,20.3354,0.72392,0.02891
259,20.4201,0.72928,0.023969999999999998
260,20.5048,0.72097,0.014490000000000001
261,20.5895,0.72039,0.016059999999999998
262,20.6742,0.7557,0.022
263,20.8435,0.74393,0.00875
264,21.0129,0.72653,0.0093
265,21.1822,0.73038,0.01241
266,21.3516,0.73942,0.007390000000000001
267,21.5209,0.73678,0.007370000000000001
268,21.6903,0.73358,0.00734
269,21.8596,0.73439,0.00734
270,22.029,0.72148,0.009
271,22.1983,0.70815,0.0070799999999999995
272,22.3677,0.69302,0.0069299999999999995
273,22.537,0.69687,0.0069700000000000005
274,22.7064,0.7046899999999999,0.00705
275,22.8757,0.72217,0.00725
276,23.0451,0.72768,0.0107
277,23.2145,0.7169800000000001,0.017769999999999998
278,23.3838,0.71118,0.016569999999999998
279,23.5532,0.7167600000000001,0.009
280,23.7225,0.71854,0.00719
281,23.8919,0.7157,0.016040000000000002
282,24.0612,0.69618,0.02518
283,24.2306,0.68671,0.02055
284,24.3999,0.69765,0.00698
285,24.5693,0.69618,0.01036
286,24.7386,0.69181,0.00899
287,24.908,0.69676,0.0112
288,25.0774,0.69531,0.00695
289,25.2467,0.69606,0.006959999999999999
290,25.416,0.6846399999999999,0.00685
291,25.5854,0.67118,0.00671
292,25.7548,0.66425,0.006640000000000001
293,25.9241,0.66194,0.00662
294,26.0935,0.65866,0.00703
295,26.2628,0.65488,0.0147
296,26.4322,0.65784,0.01959
297,26.6015,0.66528,0.00665
298,26.7709,0.67806,0.00678
299,26.9402,0.65642,0.009179999999999999
300,27.1096,0.67127,0.00671
301,27.2789,0.67407,0.00674
302,27.4483,0.6674800000000001,0.006679999999999999
303,27.6176,0.67167,0.00915
304,27.787,0.65941,0.00659
305,27.9564,0.66783,0.006679999999999999
306,28.1257,0.6633100000000001,0.01229
307,28.2951,0.65127,0.013609999999999999
308,28.4644,0.65255,0.01012
309,28.6338,0.65698,0.009
310,28.8031,0.62785,0.00628
311,28.9725,0.6307,0.01122
312,29.1418,0.6251399999999999,0.00625
313,29.3112,0.6242,0.00624
314,29.4805,0.63203,0.00785
315,29.6499,0.63081,0.0063100000000000005
316,29.8193,0.6130399999999999,0.007359999999999999
317,29.9886,0.60419,0.015080000000000001
318,30.158,0.6148399999999999,0.01495
319,30.3273,0.61738,0.00617
320,30.4967,0.63432,0.013130000000000001
321,30.666,0.63666,0.01415
322,30.8354,0.6148,0.00615
323,31.0047,0.61278,0.00971
324,31.1741,0.62148,0.00621
325,31.3434,0.58372,0.00645
326,31.5128,0.5618,0.02115
327,31.6821,0.58231,0.0058200000000000005
328,31.8515,0.5783699999999999,0.0057799999999999995
329,32.0209,0.57834,0.00589
330,32.1902,0.60736,0.00607
331,32.3596,0.61137,0.00611
332,32.5289,0.61123,0.00976
