,wavelength,flux,sigma
0,5.187,1.5096100000000001,0.0477
1,5.2172,1.22694,0.01987
2,5.2475,1.1231200000000001,0.01123
3,5.2777,1.16688,0.017830000000000002
4,5.308,1.17108,0.01171
5,5.3382,1.15459,0.017509999999999998
6,5.3685,1.15475,0.01155
7,5.3987,1.15236,0.01152
8,5.4289,1.14714,0.011470000000000001
9,5.4592,1.12412,0.01124
10,5.4894,1.08566,0.01086
11,5.5197,1.07243,0.01072
12,5.5499,1.06216,0.010620000000000001
13,5.5802,1.04119,0.010409999999999999
14,5.6104,1.0480399999999999,0.01048
15,5.6406,1.06291,0.01256
16,5.6709,1.05015,0.0105
17,5.7011,1.05026,0.010709999999999999
18,5.7314,1.0461,0.010459999999999999
19,5.7616,1.05759,0.010579999999999999
20,5.7918,1.0612,0.013080000000000001
21,5.8221,1.07807,0.01078
22,5.8523,1.0901399999999999,0.0109
23,5.8826,1.09869,0.01099
24,5.9128,1.06403,0.01064
25,5.943,1.07943,0.010790000000000001
26,5.9733,1.0740100000000001,0.010740000000000001
27,6.0035,1.06935,0.01069
28,6.0338,1.0762200000000002,0.010759999999999999
29,6.064,1.06224,0.010620000000000001
30,6.0943,1.043,0.010620000000000001
31,6.1245,1.02905,0.010409999999999999
32,6.1547,1.02597,0.01026
33,6.185,1.0224799999999998,0.01022
34,6.2152,1.01152,0.01012
35,6.2455,1.00079,0.01001
36,6.2757,0.9830200000000001,0.00983
37,6.306,0.9749700000000001,0.00975
38,6.3362,0.9956200000000001,0.00996
39,6.3664,0.9854299999999999,0.0116
40,6.3967,1.00171,0.010020000000000001
41,6.4269,1.00996,0.0101
42,6.4572,1.01468,0.01015
43,6.4874,0.99554,0.00996
44,6.5177,0.98209,0.00982
45,6.5479,0.9971899999999999,0.00997
46,6.5781,1.03234,0.010320000000000001
47,6.6084,1.07128,0.010709999999999999
48,6.6386,1.03839,0.01038
49,6.6689,1.00614,0.01006
50,6.6991,0.9957,0.00996
51,6.7294,0.9859100000000001,0.009859999999999999
52,6.7596,0.95305,0.00953
53,6.7898,0.97404,0.00974
54,6.8201,0.9957600000000001,0.00996
55,6.8503,0.9849100000000001,0.01103
56,6.8806,0.94204,0.00942
57,6.9108,0.9544299999999999,0.00954
58,6.941,0.96285,0.00963
59,6.9713,0.9510799999999999,0.00951
60,7.0015,0.94479,0.01026
61,7.0318,0.96005,0.0096
62,7.062,0.95836,0.01847
63,7.0922,0.975,0.00975
64,7.1225,0.9425399999999999,0.014709999999999999
65,7.1527,0.9348299999999999,0.00935
66,7.183,0.9152899999999999,0.00915
67,7.2132,0.9116700000000001,0.00912
68,7.2435,0.9033100000000001,0.00903
69,7.2737,0.914,0.00914
70,7.3039,0.9167700000000001,0.01637
71,7.3342,0.9133,0.015819999999999997
72,7.3644,0.9116200000000001,0.01589
73,7.3947,0.91048,0.01602
74,7.4249,0.91096,0.01436
75,7.4552,0.89494,0.00979
76,7.4854,0.89175,0.00892
77,7.5156,0.87108,0.008709999999999999
78,7.5761,0.87608,0.008759999999999999
79,7.6366,0.85931,0.00859
80,7.6971,0.8647799999999999,0.00865
81,7.7576,0.87436,0.008740000000000001
82,7.818,0.86474,0.01124
83,7.8785,0.8805799999999999,0.00881
84,7.939,0.89364,0.00894
85,7.9995,0.91191,0.01226
86,8.06,0.9067799999999999,0.00907
87,8.1205,0.9043100000000001,0.009040000000000001
88,8.181,0.9136700000000001,0.010159999999999999
89,8.2414,0.9270700000000001,0.009559999999999999
90,8.3019,0.93879,0.00943
91,8.3624,0.9424899999999999,0.013309999999999999
92,8.4229,0.9299299999999999,0.00948
93,8.4834,0.93017,0.0093
94,8.5439,0.9351,0.00935
95,8.6043,0.9526899999999999,0.00953
96,8.6648,0.95639,0.009559999999999999
97,8.7253,0.9635100000000001,0.009640000000000001
98,8.7858,0.95452,0.00955
99,8.8463,0.95299,0.00953
100,8.9068,0.9537100000000001,0.00954
101,8.9672,0.9669,0.00967
102,9.0277,0.9791700000000001,0.00979
103,9.0882,0.99266,0.00993
104,9.1487,0.99845,0.00998
105,9.2092,0.99829,0.00998
106,9.2697,1.00908,0.01009
107,9.3301,1.00003,0.01
108,9.3906,0.99221,0.00992
109,9.4511,1.01148,0.01011
110,9.5116,1.0132,0.01013
111,9.5721,1.00086,0.01001
112,9.6326,0.99384,0.009940000000000001
113,9.6931,0.9894299999999999,0.009890000000000001
114,9.7535,1.01794,0.01237
115,9.814,0.9975,0.00998
116,9.8745,0.99525,0.00995
117,9.935,0.9832700000000001,0.00983
118,9.9955,0.97683,0.009770000000000001
119,10.056,0.97152,0.00972
120,10.1164,0.9732299999999999,0.009729999999999999
121,10.1769,0.96588,0.00966
122,10.2374,0.95862,0.009590000000000001
123,10.2979,0.94857,0.00949
124,10.3584,0.9512299999999999,0.00951
125,10.4188,0.9582299999999999,0.00958
126,10.4793,0.9441,0.00944
127,10.5398,0.95232,0.00952
128,10.6003,0.9537700000000001,0.01027
129,10.6608,0.94653,0.009470000000000001
130,10.7213,0.9535799999999999,0.00954
131,10.7817,0.9526899999999999,0.00953
132,10.8422,0.94429,0.00944
133,10.9027,0.9485399999999999,0.00949
134,10.9632,0.9467,0.009470000000000001
135,11.0237,0.9413600000000001,0.00941
136,11.0842,0.93614,0.00936
137,11.1447,0.9357700000000001,0.00936
138,11.2051,0.93219,0.00932
139,11.2656,0.9290799999999999,0.009290000000000001
140,11.3261,0.9067299999999999,0.00907
141,11.3866,0.90325,0.00903
142,11.4471,0.89355,0.00894
143,11.5076,0.8768100000000001,0.00877
144,11.568,0.86592,0.00866
145,11.6285,0.85882,0.01546
146,11.689,0.8507299999999999,0.00851
147,11.7495,0.84167,0.00842
148,11.81,0.82468,0.00825
149,11.8705,0.80757,0.00808
150,11.9309,0.79711,0.01583
151,11.9914,0.79725,0.00797
152,12.0519,0.79474,0.00884
153,12.1124,0.78358,0.00784
154,12.1729,0.76932,0.007690000000000001
155,12.2334,0.77176,0.00772
156,12.2938,0.77153,0.00935
157,12.3543,0.77978,0.0078
158,12.4148,0.78645,0.007859999999999999
159,12.4753,0.7881,0.00788
160,12.5358,0.7892899999999999,0.007890000000000001
161,12.5963,0.78017,0.0078
