,wavelength,flux,sigma
0,5.187,1.71606,0.04548
1,5.2172,1.85211,0.01852
2,5.2475,2.02604,0.02671
3,5.2777,1.99892,0.01999
4,5.308,1.9574799999999999,0.01957
5,5.3382,1.98535,0.01985
6,5.3685,2.0257,0.02026
7,5.3987,2.02628,0.02026
8,5.4289,2.0063,0.020059999999999998
9,5.4592,1.95462,0.01955
10,5.4894,1.95776,0.028710000000000003
11,5.5197,1.97243,0.0264
12,5.5499,2.00013,0.04324
13,5.5802,1.9995599999999998,0.027219999999999998
14,5.6104,1.9773,0.01977
15,5.6406,1.9987099999999998,0.01999
16,5.6709,2.01982,0.0202
17,5.7011,2.0404299999999997,0.0204
18,5.7314,2.08527,0.02085
19,5.7616,2.08935,0.02089
20,5.7918,2.08582,0.02086
21,5.8221,2.10317,0.02103
22,5.8523,2.11717,0.021169999999999998
23,5.8826,2.1371,0.02137
24,5.9128,2.0903099999999997,0.0209
25,5.943,2.1301,0.0213
26,5.9733,2.1290400000000003,0.02129
27,6.0035,2.11666,0.021169999999999998
28,6.0338,2.127,0.021269999999999997
29,6.064,2.12298,0.021230000000000002
30,6.0943,2.11042,0.0211
31,6.1245,2.11702,0.021169999999999998
32,6.1547,2.1219099999999997,0.02122
33,6.185,2.1314,0.02131
34,6.2152,2.12455,0.02125
35,6.2455,2.13428,0.02134
36,6.2757,2.11452,0.02257
37,6.306,2.13895,0.02139
38,6.3362,2.15995,0.0216
39,6.3664,2.1419599999999996,0.02172
40,6.3967,2.14705,0.02147
41,6.4269,2.1655,0.02165
42,6.4572,2.17958,0.02768
43,6.4874,2.24119,0.02241
44,6.5177,2.2824,0.02282
45,6.5479,2.3014200000000002,0.02301
46,6.5781,2.31747,0.02317
47,6.6084,2.29947,0.02299
48,6.6386,2.29832,0.02298
49,6.6689,2.2686,0.022690000000000002
50,6.6991,2.28766,0.02288
51,6.7294,2.31848,0.023180000000000003
52,6.7596,2.2883400000000003,0.02288
53,6.7898,2.32902,0.02329
54,6.8201,2.36617,0.02366
55,6.8503,2.3557200000000003,0.02356
56,6.8806,2.33901,0.02339
57,6.9108,2.34052,0.02341
58,6.941,2.35973,0.0236
59,6.9713,2.3652,0.02365
60,7.0015,2.36478,0.02365
61,7.0318,2.37697,0.02377
62,7.062,2.37154,0.023719999999999998
63,7.0922,2.37843,0.023780000000000003
64,7.1225,2.39498,0.02395
65,7.1527,2.4058,0.024059999999999998
66,7.183,2.4181,0.02418
67,7.2132,2.4473700000000003,0.02447
68,7.2435,2.47028,0.0247
69,7.2737,2.46256,0.024630000000000003
70,7.3039,2.45016,0.0245
71,7.3342,2.44769,0.024480000000000002
72,7.3644,2.45801,0.02458
73,7.3947,2.4778,0.02478
74,7.4249,2.49695,0.02497
75,7.4552,2.48711,0.02487
76,7.4854,2.5614,0.02561
77,7.5156,2.50367,0.02504
78,7.5459,2.5567599999999997,0.02557
79,7.5761,2.5101400000000003,0.0378
80,7.6366,2.5139400000000003,0.03259
81,7.6971,2.49836,0.05012
82,7.7576,2.53744,0.03879
83,7.818,2.5053099999999997,0.039310000000000005
84,7.8785,2.53213,0.03007
85,7.939,2.53744,0.04096
86,7.9995,2.52497,0.04002
87,8.06,2.54051,0.03779
88,8.1205,2.55525,0.03603
89,8.181,2.558,0.035910000000000004
90,8.2414,2.56225,0.035089999999999996
91,8.3019,2.55423,0.027819999999999998
92,8.3624,2.56209,0.02754
93,8.4229,2.57913,0.03792
94,8.4834,2.59265,0.044989999999999995
95,8.5439,2.59368,0.0552
96,8.6043,2.6068599999999997,0.06327999999999999
97,8.6648,2.6014,0.0785
98,8.7253,2.6257200000000003,0.08051
99,8.7858,2.62512,0.09695
100,8.8463,2.6754599999999997,0.09305
101,8.9068,2.68281,0.10051
102,8.9672,2.6973,0.10115
103,9.0277,2.68472,0.08868
104,9.0882,2.69781,0.08699
105,9.1487,2.7370200000000002,0.09332
106,9.2092,2.76983,0.0847
107,9.2697,2.80035,0.08495
108,9.3301,2.81015,0.09174
109,9.3906,2.80769,0.06797
110,9.4511,2.87629,0.08922999999999999
