,wavelength,flux,sigma
0,5.187,0.6945600000000001,0.01701
1,5.2172,0.70395,0.00704
2,5.2475,0.73985,0.01608
3,5.2777,0.7377199999999999,0.007809999999999999
4,5.308,0.72746,0.00847
5,5.3382,0.73016,0.0073
6,5.3685,0.75627,0.01625
7,5.3987,0.7589,0.014280000000000001
8,5.4289,0.7398899999999999,0.009009999999999999
9,5.4592,0.7287100000000001,0.00859
10,5.4894,0.71539,0.00715
11,5.5197,0.71097,0.007109999999999999
12,5.5499,0.71019,0.0071
13,5.5802,0.70311,0.00703
14,5.6104,0.68174,0.00702
15,5.6406,0.6743399999999999,0.00674
16,5.6709,0.6835100000000001,0.006840000000000001
17,5.7011,0.68519,0.00685
18,5.7314,0.69098,0.0069099999999999995
19,5.7616,0.6973,0.01429
20,5.7918,0.68783,0.00688
21,5.8221,0.69557,0.006959999999999999
22,5.8523,0.7021,0.00702
23,5.8826,0.71778,0.00718
24,5.9128,0.7096899999999999,0.0071
25,5.943,0.7219,0.00722
26,5.9733,0.7245199999999999,0.00725
27,6.0035,0.72245,0.007379999999999999
28,6.0338,0.73449,0.00734
29,6.064,0.7237899999999999,0.00835
30,6.0943,0.71418,0.0071400000000000005
31,6.1245,0.71637,0.00716
32,6.1547,0.72063,0.007209999999999999
33,6.185,0.71622,0.00716
34,6.2152,0.71236,0.0071200000000000005
35,6.2455,0.71434,0.0071400000000000005
36,6.2757,0.72818,0.00728
37,6.306,0.71433,0.00761
38,6.3362,0.7186100000000001,0.00719
39,6.3664,0.71039,0.0071
40,6.3967,0.7027899999999999,0.00703
41,6.4269,0.7086399999999999,0.007090000000000001
42,6.4572,0.71043,0.0071
43,6.4874,0.71444,0.0071400000000000005
44,6.5177,0.71373,0.0071400000000000005
45,6.5479,0.71359,0.0071400000000000005
46,6.5781,0.7236199999999999,0.007240000000000001
47,6.6084,0.70995,0.0071
48,6.6386,0.72345,0.00857
49,6.6689,0.7055600000000001,0.0070599999999999994
50,6.6991,0.70003,0.007
51,6.7294,0.70916,0.009009999999999999
52,6.7596,0.6965100000000001,0.0069700000000000005
53,6.7898,0.71708,0.00717
54,6.8201,0.71609,0.012709999999999999
55,6.8503,0.71431,0.0071400000000000005
56,6.8806,0.70531,0.00705
57,6.9108,0.71177,0.0071200000000000005
58,6.941,0.7186,0.00719
59,6.9713,0.7139800000000001,0.0071400000000000005
60,7.0015,0.73439,0.033760000000000005
61,7.0318,0.73305,0.02544
62,7.062,0.74069,0.02818
63,7.0922,0.7350899999999999,0.03058
64,7.1225,0.7229300000000001,0.01153
65,7.1527,0.72172,0.00722
66,7.183,0.72327,0.008
67,7.2132,0.7277600000000001,0.009059999999999999
68,7.2435,0.72543,0.00868
69,7.2737,0.72727,0.00733
70,7.3039,0.7257100000000001,0.007259999999999999
71,7.3342,0.7305,0.0073
72,7.3644,0.7187,0.00719
73,7.3947,0.70796,0.0070799999999999995
74,7.4249,0.72809,0.01406
75,7.4552,0.71954,0.0072
76,7.4854,0.75234,0.007520000000000001
77,7.5156,0.73857,0.007390000000000001
78,7.5459,0.74841,0.01523
