,wavelength,flux,sigma
0,5.187,0.02872,0.0012
1,5.2172,0.02843,0.00028
2,5.2475,0.030019999999999998,0.0003
3,5.2777,0.0287,0.0006799999999999999
4,5.308,0.02773,0.00141
5,5.3382,0.02779,0.00074
6,5.3685,0.028489999999999998,0.00028
7,5.3987,0.02843,0.00028
8,5.4289,0.027889999999999998,0.00043
9,5.4592,0.02748,0.0006900000000000001
10,5.4894,0.027410000000000004,0.0007700000000000001
11,5.5197,0.02729,0.00027
12,5.5499,0.026510000000000002,0.00027
13,5.5802,0.02698,0.00045
14,5.6104,0.02623,0.00026000000000000003
15,5.6406,0.0263,0.00026000000000000003
16,5.6709,0.02605,0.00027
17,5.7011,0.025710000000000004,0.00026000000000000003
18,5.7314,0.02501,0.0006
19,5.7616,0.02593,0.00039
20,5.7918,0.02529,0.00035
21,5.8221,0.024669999999999997,0.00032
22,5.8523,0.025169999999999998,0.0008
23,5.8826,0.02595,0.00026000000000000003
24,5.9128,0.02547,0.00025
25,5.943,0.024919999999999998,0.0007099999999999999
26,5.9733,0.02519,0.0003
27,6.0035,0.02531,0.00025
28,6.0338,0.02396,0.0009199999999999999
29,6.064,0.02385,0.00057
30,6.0943,0.02436,0.00023999999999999998
31,6.1245,0.02391,0.00025
32,6.1547,0.02441,0.00023999999999999998
33,6.185,0.02338,0.00081
34,6.2152,0.024030000000000003,0.00054
35,6.2455,0.02412,0.00072
36,6.2757,0.02363,0.00047000000000000004
37,6.306,0.02291,0.00047999999999999996
38,6.3362,0.0236,0.00026000000000000003
39,6.3664,0.02329,0.00033
40,6.3967,0.022369999999999998,0.00053
41,6.4269,0.02228,0.00064
42,6.4572,0.022090000000000002,0.00047999999999999996
43,6.4874,0.02196,0.00022
44,6.5177,0.02203,0.0007599999999999999
45,6.5479,0.02191,0.00047999999999999996
46,6.5781,0.02074,0.001
47,6.6084,0.02045,0.00095
48,6.6386,0.0199,0.00023999999999999998
49,6.6689,0.020669999999999997,0.0005200000000000001
50,6.6991,0.02055,0.0004
