,wavelength,flux,sigma
0,5.187,0.24994,0.00385
1,5.2172,0.24173000000000003,0.01013
2,5.2475,0.22651999999999997,0.00227
3,5.2777,0.22912,0.00229
4,5.308,0.2334,0.00515
5,5.3382,0.22608000000000003,0.0022600000000000003
6,5.3685,0.22765,0.00674
7,5.3987,0.23026,0.0023
8,5.4289,0.22757,0.00815
9,5.4592,0.22796,0.00386
10,5.4894,0.22654000000000002,0.00619
11,5.5197,0.22521,0.00301
12,5.5499,0.2252,0.00225
13,5.5802,0.22641,0.0022600000000000003
14,5.6104,0.22741,0.00227
15,5.6406,0.22676,0.00227
16,5.6709,0.23065,0.00231
17,5.7011,0.22316,0.0102
18,5.7314,0.23085999999999998,0.00231
19,5.7616,0.22177,0.0022199999999999998
20,5.7918,0.2191,0.00389
21,5.8221,0.22419,0.0084
22,5.8523,0.22508000000000003,0.00688
23,5.8826,0.22334,0.00521
24,5.9128,0.2179,0.00218
25,5.943,0.22744,0.00532
26,5.9733,0.22214,0.00506
27,6.0035,0.22029,0.00514
28,6.0338,0.22216,0.00701
29,6.064,0.22721999999999998,0.00227
30,6.0943,0.22180999999999998,0.0023
31,6.1245,0.22359,0.00345
32,6.1547,0.22594,0.0022600000000000003
33,6.185,0.22213000000000002,0.0022199999999999998
34,6.2152,0.22546,0.00225
35,6.2455,0.2205,0.0035600000000000002
36,6.2757,0.21753000000000003,0.0038399999999999997
37,6.306,0.2196,0.0058
38,6.3362,0.21671999999999997,0.00217
39,6.3664,0.22416,0.00224
40,6.3967,0.2255,0.00278
41,6.4269,0.23001,0.0023
42,6.4572,0.22096999999999997,0.00221
43,6.4874,0.22819,0.00228
44,6.5177,0.22066,0.0034200000000000003
45,6.5479,0.21268,0.00469
46,6.5781,0.2148,0.00293
47,6.6084,0.21982,0.0022
48,6.6386,0.22274000000000002,0.00223
49,6.6689,0.2182,0.00446
50,6.6991,0.21935,0.0034799999999999996
51,6.7294,0.21605,0.0032700000000000003
52,6.7596,0.21254,0.00234
53,6.7898,0.21615,0.00296
54,6.8201,0.22225999999999999,0.0040100000000000005
55,6.8503,0.22144,0.00476
56,6.8806,0.21695,0.00449
57,6.9108,0.22123,0.00296
58,6.941,0.22203,0.00278
59,6.9713,0.21394000000000002,0.00257
60,7.0015,0.21966,0.00584
61,7.0318,0.22265,0.00307
62,7.062,0.21728000000000003,0.00218
63,7.0922,0.21874000000000002,0.0034700000000000004
64,7.1225,0.21539,0.00321
65,7.1527,0.22314,0.01127
66,7.183,0.22063000000000002,0.00933
67,7.2132,0.2176,0.00869
68,7.2435,0.21863000000000002,0.0021899999999999997
69,7.2737,0.22144,0.00542
70,7.3039,0.22219,0.00244
71,7.3342,0.21875999999999998,0.0021899999999999997
72,7.3644,0.22244,0.0022199999999999998
73,7.3947,0.22139,0.0022199999999999998
74,7.4249,0.22551,0.00236
75,7.4552,0.22324000000000002,0.0027199999999999998
76,7.4854,0.23326999999999998,0.004229999999999999
77,7.5156,0.22818000000000002,0.016130000000000002
78,7.5459,0.22899,0.02259
79,7.5761,0.23505,0.01165
80,7.6366,0.23415,0.00234
81,7.6971,0.23351,0.0039
82,7.7576,0.23881,0.00302
83,7.818,0.23621,0.00236
84,7.8785,0.23734,0.00237
85,7.939,0.24555,0.00648
86,7.9995,0.24641999999999997,0.00246
87,8.06,0.24215,0.00242
88,8.1205,0.24727,0.00285
89,8.181,0.24957,0.00387
90,8.2414,0.25568,0.00625
91,8.3019,0.25841,0.00364
92,8.3624,0.2592,0.00259
93,8.4229,0.25908000000000003,0.00259
94,8.4834,0.26737,0.00294
95,8.5439,0.26655999999999996,0.00267
96,8.6043,0.27288,0.0027300000000000002
97,8.6648,0.27752,0.0028699999999999997
98,8.7253,0.28209,0.00282
99,8.7858,0.27914,0.0037799999999999995
100,8.8463,0.28523000000000004,0.00725
101,8.9068,0.28529,0.00446
102,8.9672,0.29254,0.00293
103,9.0277,0.29905,0.00314
104,9.0882,0.30535,0.0038
105,9.1487,0.30803,0.0030800000000000003
106,9.2092,0.3094,0.006940000000000001
107,9.2697,0.30912,0.00309
108,9.3301,0.3151,0.00446
109,9.3906,0.31123,0.007679999999999999
110,9.4511,0.31833,0.00318
111,9.5116,0.3091,0.00309
112,9.5721,0.31159000000000003,0.00312
113,9.6326,0.3117,0.00312
114,9.6931,0.31519,0.00315
115,9.7535,0.31809,0.00394
116,9.814,0.31706,0.00527
117,9.8745,0.31425,0.00607
118,9.909130000000001,0.32366697738750305,0.0034799999999999996
119,9.91675,0.3231411444135241,0.0032700000000000003
120,9.924389999999999,0.32116087980939034,0.00351
121,9.93202,0.31985189134225117,0.0044
122,9.93967,0.3149068237997251,0.00433
123,9.94731,0.31400060101478255,0.00324
124,9.95497,0.3110246101407738,0.00411
125,9.96263,0.3138663457873837,0.00434
126,9.9703,0.31530958948192184,0.00359
127,9.97797,0.3191246755271738,0.00321
128,9.98565,0.32053435541486214,0.00352
