,wavelength,flux,sigma
0,5.187,2.19292,0.02193
1,5.2172,2.02475,0.02025
2,5.2475,1.93333,0.02267
3,5.2777,1.9312900000000002,0.01931
4,5.308,1.95133,0.01951
5,5.3382,1.9238,0.01924
6,5.3685,1.91419,0.01914
7,5.3987,1.91515,0.01915
8,5.4289,1.9127900000000002,0.01913
9,5.4592,1.8894099999999998,0.01889
10,5.4894,1.8786200000000002,0.02986
11,5.5197,1.87225,0.02655
12,5.5499,1.87378,0.031110000000000002
13,5.5802,1.8603,0.02804
14,5.6104,1.8595599999999999,0.0186
15,5.6406,1.8876400000000002,0.01888
16,5.6709,1.8930900000000002,0.018930000000000002
17,5.7011,1.9042700000000001,0.01904
18,5.7314,1.9027599999999998,0.019030000000000002
19,5.7616,1.89228,0.01892
20,5.7918,1.885,0.01885
21,5.8221,1.89363,0.018940000000000002
22,5.8523,1.9063,0.01906
23,5.8826,1.92077,0.02299
24,5.9128,1.8721,0.01872
25,5.943,1.88726,0.018869999999999998
26,5.9733,1.8820400000000002,0.01882
27,6.0035,1.87735,0.01877
28,6.0338,1.87022,0.0187
29,6.064,1.86315,0.01863
30,6.0943,1.84349,0.018430000000000002
31,6.1245,1.8304599999999998,0.0183
32,6.1547,1.8351099999999998,0.01835
33,6.185,1.83522,0.01835
34,6.2152,1.81939,0.01819
35,6.2455,1.8039,0.01804
36,6.2757,1.78194,0.01782
37,6.306,1.78688,0.01787
38,6.3362,1.8137900000000002,0.01814
39,6.3664,1.8081599999999998,0.01917
40,6.3967,1.8420900000000002,0.01842
41,6.4269,1.8567099999999999,0.01857
42,6.4572,1.84345,0.018430000000000002
43,6.4874,1.84477,0.01845
44,6.5177,1.8213099999999998,0.01821
45,6.5479,1.8399299999999998,0.0184
46,6.5781,1.8771099999999998,0.01877
47,6.6084,1.90298,0.019030000000000002
48,6.6386,1.91055,0.01911
49,6.6689,1.84733,0.01847
50,6.6991,1.8227400000000002,0.01823
51,6.7294,1.82267,0.01823
52,6.7596,1.7989,0.01799
53,6.7898,1.8062,0.01806
54,6.8201,1.8307799999999999,0.01831
55,6.8503,1.83475,0.01835
56,6.8806,1.81037,0.0181
57,6.9108,1.80149,0.018009999999999998
58,6.941,1.8082,0.018080000000000002
59,6.9713,1.80194,0.018019999999999998
60,7.0015,1.8041,0.01804
61,7.0318,1.8197900000000002,0.0182
62,7.062,1.83192,0.01832
63,7.0922,1.81818,0.01818
64,7.1225,1.8095400000000001,0.01859
65,7.1527,1.8101099999999999,0.0181
66,7.183,1.79224,0.01792
67,7.2132,1.78183,0.01782
68,7.2435,1.7662400000000003,0.01766
69,7.2737,1.7736,0.017740000000000002
70,7.3039,1.7941200000000002,0.01794
71,7.3342,1.7934599999999998,0.01793
72,7.3644,1.7743200000000001,0.017740000000000002
73,7.3947,1.7659599999999998,0.01766
74,7.4249,1.80675,0.01807
75,7.4552,1.789,0.01789
76,7.4854,1.8398900000000002,0.02377
