,wavelength,flux,sigma
0,5.187,0.14477,0.007559999999999999
1,5.2172,0.1616,0.00162
2,5.2475,0.18184,0.01293
3,5.2777,0.17595999999999998,0.0123
4,5.308,0.16733,0.00179
5,5.3382,0.17093,0.00785
6,5.3685,0.18055,0.00565
7,5.3987,0.17663,0.00187
8,5.4289,0.16542,0.00165
9,5.4592,0.17051,0.0017100000000000001
10,5.4894,0.16813,0.00344
11,5.5197,0.17154,0.00172
12,5.5499,0.17104,0.00365
13,5.5802,0.162,0.007890000000000001
14,5.6104,0.16230999999999998,0.00533
15,5.6406,0.16325,0.0016300000000000002
16,5.6709,0.15562,0.008579999999999999
17,5.7011,0.15779,0.00599
18,5.7314,0.16109,0.005
19,5.7616,0.15789,0.00158
20,5.7918,0.15588,0.00156
21,5.8221,0.15954000000000002,0.0016899999999999999
22,5.8523,0.16047999999999998,0.0017100000000000001
23,5.8826,0.16371,0.00164
24,5.9128,0.15753,0.00158
25,5.943,0.15279,0.00677
26,5.9733,0.14784,0.00148
27,6.0035,0.15838,0.00158
28,6.0338,0.15633,0.00343
29,6.064,0.15316,0.006370000000000001
30,6.0943,0.15057,0.00594
31,6.1245,0.15100999999999998,0.00151
32,6.1547,0.15045,0.005679999999999999
33,6.185,0.15466,0.00421
34,6.2152,0.15448,0.0015400000000000001
35,6.2455,0.15893,0.00159
36,6.2757,0.15084,0.0041
37,6.306,0.14812999999999998,0.00228
38,6.3362,0.14803,0.00148
39,6.3664,0.13867000000000002,0.01095
40,6.3967,0.15442,0.0024
41,6.4269,0.14807,0.00148
42,6.4572,0.15975999999999999,0.00275
43,6.4874,0.15897,0.0033799999999999998
44,6.5177,0.15236,0.0048
45,6.5479,0.15653,0.00157
46,6.5781,0.16054000000000002,0.00685
47,6.6084,0.16691,0.00324
48,6.6386,0.16684000000000002,0.00385
49,6.6689,0.15821,0.00602
50,6.6991,0.15693,0.00157
51,6.7294,0.15356,0.0015400000000000001
52,6.7596,0.15320999999999999,0.0015300000000000001
53,6.7898,0.15147,0.0055
54,6.8201,0.1538,0.00251
55,6.8503,0.1615,0.00772
56,6.8806,0.15794,0.007890000000000001
57,6.9108,0.15292,0.0015300000000000001
58,6.941,0.15432,0.01197
59,6.9713,0.14549,0.00499
60,7.0015,0.14669000000000001,0.00512
61,7.0318,0.15379,0.0017100000000000001
62,7.062,0.15913,0.0027199999999999998
63,7.0922,0.15825999999999998,0.0019199999999999998
64,7.1225,0.14706,0.00147
65,7.1527,0.1484,0.0030600000000000002
66,7.183,0.15472,0.00785
67,7.2132,0.15934,0.00909
68,7.2435,0.15274000000000001,0.00635
69,7.2737,0.14015,0.0014
70,7.3039,0.13446,0.00603
71,7.3342,0.14874,0.00149
72,7.3644,0.15063,0.00527
73,7.3947,0.14412,0.005679999999999999
74,7.4249,0.14706,0.0061200000000000004
75,7.4552,0.15972999999999998,0.0016
76,7.4854,0.17022,0.00292
77,7.5156,0.1497,0.00425
78,7.5459,0.15375,0.014509999999999999
79,7.5761,0.155,0.00502
80,7.6366,0.15791,0.0072900000000000005
81,7.6971,0.15541,0.00187
82,7.7576,0.16022999999999998,0.00298
83,7.818,0.15694,0.0017699999999999999
84,7.8785,0.15804,0.00434
85,7.939,0.15733,0.00475
86,7.9995,0.16195,0.0021899999999999997
87,8.06,0.16615,0.00233
88,8.1205,0.16924,0.0025
89,8.181,0.17673,0.0017699999999999999
90,8.2414,0.18205,0.00195
91,8.3019,0.18402000000000002,0.0018399999999999998
92,8.3624,0.19272,0.00193
93,8.4229,0.19522,0.00195
94,8.4834,0.19533,0.00218
95,8.5439,0.20063,0.00216
96,8.6043,0.20884,0.00249
97,8.6648,0.20332,0.00596
98,8.7253,0.21913000000000002,0.0021899999999999997
99,8.7858,0.2204,0.0022
100,8.8463,0.22418000000000002,0.00629
101,8.9068,0.23509000000000002,0.00414
102,8.9672,0.24174,0.0027600000000000003
103,9.0277,0.24720999999999999,0.0032600000000000003
104,9.0882,0.2509,0.00251
105,9.1487,0.25564000000000003,0.00256
106,9.2092,0.2631,0.0055899999999999995
107,9.2697,0.26814,0.00288
108,9.3301,0.26792,0.00374
109,9.3906,0.2772,0.0031
110,9.4511,0.27921999999999997,0.00279
111,9.5116,0.27787,0.00278
112,9.5721,0.27889,0.00279
113,9.6326,0.28358,0.0028399999999999996
114,9.6931,0.28333,0.0032700000000000003
115,9.7535,0.28403,0.0028399999999999996
116,9.814,0.28012,0.0028
117,9.8745,0.2899,0.0029
118,9.935,0.29521,0.00295
119,9.9955,0.29259,0.00293
120,10.056,0.29219,0.00498
121,10.1164,0.29270999999999997,0.00293
122,10.1769,0.29285,0.00409
123,10.2374,0.29014,0.0029
124,10.2979,0.28665,0.0028699999999999997
125,10.3584,0.28684,0.0035700000000000003
126,10.4188,0.29329,0.00293
127,10.4793,0.28576,0.00286
128,10.5398,0.28592,0.00426
129,10.6003,0.27971999999999997,0.00285
