wavelength,flux,sigma
7.57612,0.098236823011008,0.004418
7.6366,0.10017251732138,0.003493
7.69709,0.098612646749765,0.003688
7.75757,0.099604067078529,0.004184
7.81805,0.103340751850256,0.00301
7.87854,0.105548547935642,0.00319
7.93902,0.107078783660474,0.003344
7.99951,0.104743018918521,0.002825
8.05999,0.106541315302896,0.003082
8.12047,0.112422485350972,0.003219
8.18096,0.117380934033282,0.00345
8.24144,0.121186317768008,0.005697
8.30192,0.11999957685817,0.005236
8.36241,0.124118820561105,0.003234
8.42289,0.130106406649904,0.004298
8.48337,0.128682586965796,0.002958
8.54386,0.130821684088183,0.003324
8.60434,0.134535469205578,0.003964
8.66483,0.13590810142706,0.00473
8.72531,0.135917530696491,0.003152
8.78579,0.13998693397529,0.003187
8.84628,0.142504548913415,0.003943
8.90676,0.147146443550535,0.00401
8.96724,0.151265687253471,0.003816
9.02773,0.152871357133751,0.004335
9.08821,0.156917860758218,0.00405
9.14869,0.161297082889755,0.005693
9.20918,0.161227036888267,0.008141
9.26966,0.162315443988323,0.008622
9.33015,0.163729834403,0.005485
9.39063,0.166907498201307,0.004323
9.45111,0.164035612140268,0.004612
9.5116,0.16413394595005,0.004481
9.57208,0.165471555170787,0.004157
9.63256,0.163521043437023,0.004027
9.69305,0.164494952265415,0.004346
9.75353,0.165837949640113,0.005561
9.81401,0.166411788036925,0.00601
9.8745,0.166523592231609,0.010249
9.93498,0.166489916269355,0.006244
9.99547,0.166390235421082,0.007138
10.004904,0.170402,0.001969
10.012988,0.169025,0.001833
10.021071,0.168426,0.001883
10.029154,0.169316,0.002982
10.037234,0.16463,0.001698
10.045313,0.165507,0.002247
10.053392,0.172225,0.002533
10.061468,0.167472,0.00203
10.069544,0.168745,0.002271
10.077618,0.169242,0.002695
10.08569,0.164339,0.004042
10.093762,0.16938,0.002211
10.101832,0.166527,0.002181
10.109901,0.167629,0.003546
10.118013,0.167926,0.002891
10.12608,0.166002,0.001853
10.134145,0.166483,0.001897
10.142208,0.166957,0.002149
10.15027,0.164987,0.002246
10.158331,0.165801,0.002068
10.16639,0.166809,0.002348
10.174449,0.167103,0.002104
10.182506,0.167853,0.001815
10.190561,0.162901,0.024484
10.198615,0.166412,0.002709
10.206668,0.165425,0.00201
10.21472,0.163834,0.002186
10.222769,0.16636,0.001992
10.230818,0.163262,0.002008
10.238866,0.164419,0.001849
10.246912,0.162941,0.00308
10.254956,0.161382,0.001723
10.263,0.165768,0.002127
10.271043,0.163633,0.002438
10.279083,0.165108,0.001681
10.287123,0.165108,0.001578
10.295161,0.163449,0.002142
10.303198,0.165018,0.002442
10.311234,0.164375,0.001589
10.319268,0.164344,0.001676
10.327301,0.16448,0.002178
10.335333,0.163136,0.001721
