,wavelength,flux,sigma
0,5.187,0.19808,0.011040000000000001
1,5.2172,0.19747,0.01042
2,5.2475,0.18702,0.00187
3,5.2777,0.19125999999999999,0.0019100000000000002
4,5.308,0.19349,0.00279
5,5.3382,0.18991,0.00494
6,5.3685,0.18900999999999998,0.00267
7,5.3987,0.18916,0.0018899999999999998
8,5.4289,0.19080999999999998,0.0021899999999999997
9,5.4592,0.19361,0.0033299999999999996
10,5.4894,0.19007000000000002,0.0019
11,5.5197,0.18358,0.00318
12,5.5499,0.18352000000000002,0.0018399999999999998
13,5.5802,0.18274,0.00804
14,5.6104,0.1768,0.006409999999999999
15,5.6406,0.18373,0.0018399999999999998
16,5.6709,0.18459,0.00185
17,5.7011,0.1762,0.00176
18,5.7314,0.17537,0.0035700000000000003
19,5.7616,0.17195,0.0023899999999999998
20,5.7918,0.17260999999999999,0.00173
21,5.8221,0.17224,0.00477
22,5.8523,0.17429,0.00175
23,5.8826,0.17354,0.0040100000000000005
24,5.9128,0.16974,0.004529999999999999
25,5.943,0.17423,0.0017399999999999998
26,5.9733,0.17327,0.00173
27,6.0035,0.17251,0.00372
28,6.0338,0.17157,0.0036200000000000004
29,6.064,0.16851,0.0035299999999999997
30,6.0943,0.16807,0.00528
31,6.1245,0.16859000000000002,0.005229999999999999
32,6.1547,0.17025,0.00213
33,6.185,0.17039,0.0017
34,6.2152,0.16852999999999999,0.0016899999999999999
35,6.2455,0.17473,0.00275
36,6.2757,0.17329,0.00173
37,6.306,0.16785999999999998,0.0029
38,6.3362,0.16247999999999999,0.00218
39,6.3664,0.16812,0.00471
40,6.3967,0.17188,0.00172
41,6.4269,0.16189,0.00162
42,6.4572,0.16076,0.00242
43,6.4874,0.15999000000000002,0.00318
44,6.5177,0.15780999999999998,0.00158
45,6.5479,0.15847,0.0018
46,6.5781,0.15547,0.00155
47,6.6084,0.162,0.0024
48,6.6386,0.16909000000000002,0.00185
49,6.6689,0.16109,0.00297
50,6.6991,0.16271,0.007109999999999999
51,6.7294,0.1624,0.0058
52,6.7596,0.15772,0.002
53,6.7898,0.16211,0.00562
54,6.8201,0.15679,0.00394
55,6.8503,0.1518,0.00394
56,6.8806,0.15104,0.0059
57,6.9108,0.15239,0.0032700000000000003
58,6.941,0.15270999999999998,0.0015300000000000001
59,6.9713,0.14438,0.00182
60,7.0015,0.15144000000000002,0.00151
61,7.0318,0.1559,0.00228
62,7.062,0.1519,0.0015199999999999999
63,7.0922,0.15839,0.00705
64,7.1225,0.16551,0.00243
65,7.1527,0.15655,0.00157
66,7.183,0.15499000000000002,0.00155
67,7.2132,0.15813,0.0036799999999999997
68,7.2435,0.16341,0.00343
69,7.2737,0.16408,0.00212
70,7.3039,0.16514,0.00746
71,7.3342,0.15577,0.00381
72,7.3644,0.1499,0.00285
73,7.3947,0.15202000000000002,0.00556
74,7.4249,0.15606,0.01227
75,7.4552,0.15325,0.00323
76,7.4854,0.16408,0.00195
77,7.5156,0.16262000000000001,0.00225
78,7.5459,0.16676,0.00265
79,7.5761,0.15557,0.00156
80,7.6366,0.15313,0.00278
81,7.6971,0.1524,0.0015199999999999999
82,7.7576,0.15031,0.0015
83,7.818,0.15277000000000002,0.0015300000000000001
84,7.8785,0.15517,0.00155
85,7.939,0.15325,0.0015300000000000001
86,7.9995,0.15120999999999998,0.00151
87,8.06,0.15914,0.0053100000000000005
88,8.1205,0.15859,0.00339
89,8.181,0.16221,0.00237
90,8.2414,0.16844,0.00266
91,8.3019,0.17315,0.0069
92,8.3624,0.16925,0.0028899999999999998
93,8.4229,0.16575,0.00217
94,8.4834,0.17242000000000002,0.00172
95,8.5439,0.17292000000000002,0.00173
96,8.6043,0.1772,0.0038399999999999997
97,8.6648,0.17567,0.00176
98,8.7253,0.18302000000000002,0.00183
99,8.7858,0.1824,0.00182
100,8.8463,0.19163,0.0019199999999999998
101,8.9068,0.19259,0.005
102,8.9672,0.19679000000000002,0.00469
103,9.0277,0.19947,0.00688
104,9.0882,0.20693000000000003,0.00207
105,9.1487,0.20872,0.00209
106,9.2092,0.22,0.00471
107,9.2697,0.22171,0.00464
108,9.3301,0.2202,0.0022
109,9.3906,0.2225,0.00223
110,9.4511,0.22254000000000002,0.00223
111,9.5116,0.22433000000000003,0.00224
112,9.5721,0.21789,0.00307
113,9.6326,0.2183,0.006679999999999999
114,9.6931,0.2243,0.00434
115,9.7535,0.22346999999999997,0.00642
116,9.814,0.23053,0.00251
117,9.8745,0.23325,0.00296
118,9.935,0.23467,0.0031100000000000004
119,9.9955,0.23312,0.00283
120,10.056,0.23551999999999998,0.00236
121,10.1164,0.23392,0.0046700000000000005
122,10.1769,0.2365,0.0025399999999999997
123,10.2374,0.24118,0.0024100000000000002
124,10.2979,0.24509,0.00245
125,10.3584,0.24470999999999998,0.0038799999999999998
126,10.4188,0.2506,0.00572
127,10.4793,0.25261,0.00447
128,10.5398,0.25475,0.0071
129,10.6003,0.25401999999999997,0.00797
130,10.6608,0.25756,0.00599
131,10.7213,0.25613,0.0027300000000000002
132,10.7817,0.25128,0.00251
133,10.8422,0.25453000000000003,0.00255
134,10.9027,0.24684,0.00247
135,10.9632,0.24711999999999998,0.0048200000000000005
136,11.0237,0.24799000000000002,0.00355
137,11.0842,0.25877,0.00259
138,11.1447,0.25687,0.0056700000000000006
139,11.2051,0.25766999999999995,0.0025800000000000003
140,11.2656,0.26655999999999996,0.00267
141,11.3261,0.25625,0.00256
142,11.3866,0.25593,0.00309
143,11.4471,0.25629,0.00256
144,11.5076,0.25342,0.00253
145,11.568,0.24986,0.0025
146,11.6285,0.24821,0.00248
147,11.689,0.2375,0.00237
148,11.7495,0.23820999999999998,0.00746
149,11.81,0.23165999999999998,0.007109999999999999
150,11.8705,0.23333,0.00607
151,11.9309,0.22805999999999998,0.00514
152,11.9914,0.22301999999999997,0.00223
153,12.0519,0.21969,0.0022
154,12.1124,0.20984,0.0027199999999999998
155,12.1729,0.21088,0.0021100000000000003
156,12.2334,0.21414,0.00371
157,12.2938,0.2135,0.00491
158,12.3543,0.21675999999999998,0.00555
159,12.4148,0.22027,0.0022
160,12.4753,0.22111999999999998,0.00259
161,12.5358,0.22221,0.0022199999999999998
162,12.5963,0.21821999999999997,0.00325
163,12.6567,0.22414,0.00224
164,12.7172,0.22314,0.00223
165,12.7777,0.22152,0.0022199999999999998
166,12.8382,0.22269,0.00424
167,12.8987,0.21996999999999997,0.00316
168,12.9592,0.21882,0.0021899999999999997
169,13.0197,0.21815,0.00218
170,13.0801,0.21711999999999998,0.00527
171,13.1406,0.22004,0.0061200000000000004
172,13.2011,0.22511,0.00225
173,13.2616,0.21709,0.00234
174,13.3221,0.22174000000000002,0.0022199999999999998
175,13.3826,0.22679000000000002,0.00227
176,13.443,0.23546999999999998,0.00555
177,13.5035,0.23735,0.006509999999999999
178,13.564,0.23419,0.005529999999999999
179,13.6245,0.23271,0.00361
180,13.685,0.23636,0.00237
181,13.7455,0.23911999999999997,0.0037700000000000003
182,13.8059,0.24619000000000002,0.00569
183,13.8664,0.24316,0.00243
184,13.9269,0.24727,0.00577
185,13.9874,0.24974000000000002,0.0069900000000000006
186,14.154,0.26785,0.00268
187,14.2387,0.2632,0.00316
188,14.3234,0.26628,0.00266
189,14.4081,0.26647,0.00604
190,14.4927,0.2694,0.00899
191,14.5774,0.27318000000000003,0.0027300000000000002
192,14.6621,0.27082,0.00271
193,14.7468,0.26427,0.00613
194,14.8315,0.27026,0.00515
195,14.9161,0.28303,0.00765
196,15.0008,0.27796,0.00498
197,15.0855,0.28215,0.007370000000000001
198,15.1701,0.28392,0.0028399999999999996
199,15.2548,0.29331,0.00293
200,15.3395,0.30361,0.0030399999999999997
201,15.4242,0.31138000000000005,0.0031100000000000004
202,15.5089,0.31416,0.00445
203,15.5935,0.3147,0.00315
204,15.6782,0.32723,0.0032700000000000003
205,15.7629,0.33647,0.00336
206,15.8476,0.33179000000000003,0.0066
207,15.9322,0.34076999999999996,0.00748
208,16.0169,0.37212,0.00372
209,16.1016,0.36827,0.008459999999999999
210,16.1863,0.37698000000000004,0.0037700000000000003
211,16.271,0.38758000000000004,0.0038799999999999998
212,16.3556,0.40843,0.00436
213,16.4403,0.41644,0.0041600000000000005
214,16.525,0.41508999999999996,0.00415
215,16.6097,0.4137,0.00414
216,16.6943,0.4286,0.0069900000000000006
217,16.779,0.44483,0.010329999999999999
218,16.8637,0.44418,0.00785
219,16.9484,0.45515,0.009770000000000001
220,17.033,0.47623999999999994,0.00621
221,17.1177,0.48686,0.0058200000000000005
222,17.2024,0.48846999999999996,0.00687
223,17.2871,0.49359,0.006540000000000001
224,17.3717,0.5089199999999999,0.00509
225,17.4564,0.52647,0.0089
226,17.5411,0.53118,0.0053100000000000005
227,17.6258,0.54025,0.0054
228,17.7105,0.55289,0.007890000000000001
229,17.7951,0.54901,0.00549
230,17.8798,0.53554,0.03246
231,17.9645,0.55843,0.02565
232,18.0492,0.56847,0.0261
