,wavelength,flux,sigma
0,5.1567602,0.1531581,0.0037174747
1,5.1869996,0.14270599,0.0021922895
2,5.2172497,0.16014288,0.0017652747
3,5.247489900000001,0.16416115,0.0016927004999999998
4,5.27773,0.15674334,0.0017242135999999998
5,5.3079699,0.15919271,0.001674626
6,5.3382102,0.15092129,0.0017000479999999998
7,5.368460099999999,0.15537114,0.0016027717
8,5.3987003,0.15044894,0.0016937048000000001
9,5.4289401,0.15666936,0.0015818085999999999
10,5.4591801,0.14742723,0.0015032995000000002
11,5.48942,0.1513401,0.0014277556
12,5.5196698,0.14607098,0.0013890242
13,5.5499099,0.14359293,0.0013696017999999999
14,5.5801503,0.14619115,0.0013640785
15,5.6103904,0.14258688,0.0013652945000000001
16,5.640629799999999,0.1416843,0.0013230413
17,5.6708796999999995,0.14514528,0.0012963895
18,5.7011198,0.14163644,0.0012864903999999999
19,5.7313598,0.13907094,0.0013045678
20,5.7616001,0.14103454,0.0013390042
21,5.7918402,0.14512201,0.0013786435
22,5.82209,0.14240283,0.0014043457999999998
23,5.8523304000000005,0.13714908,0.0014259391
24,5.8825698,0.14189554,0.0014650415
25,5.9128097,0.14154951,0.0015070013
26,5.9430497,0.14024183,0.0015527768
27,5.9732998,0.13619845,0.001581942
28,6.003539900000001,0.13336293,0.0016052731
29,6.03378,0.13978117,0.0016086203
30,6.064019999999999,0.1328079,0.0015942948
31,6.094260299999999,0.13288572,0.001586293
32,6.12451,0.13619339,0.0015704987
33,6.1547497,0.12993306,0.0015534219
34,6.1849898,0.12880472,0.0015277995000000002
35,6.215229900000001,0.12913202,0.0014889188
36,6.245470200000001,0.12788643,0.0014451367
37,6.2757202,0.12731006,0.0014274128
38,6.3059603,0.12783878,0.0014431257
39,6.3362003,0.12721159,0.0014447642000000001
40,6.366439700000001,0.12522422,0.0014466132
41,6.396679799999999,0.12311967,0.0014346443
42,6.4269300000000005,0.13234738,0.0014168844000000001
43,6.45717,0.12806229,0.0014130449
44,6.4874099,0.12623638,0.0014395277
45,6.5176502,0.12785661,0.0014890149
46,6.5478903,0.12339158,0.0015920417000000002
47,6.578139500000001,0.12965096,0.0016450437
48,6.608380099999999,0.1241358,0.0016715328
49,6.6386199999999995,0.12065824,0.0016870988
50,6.6688597000000005,0.12457562,0.0016949064
51,6.699099900000001,0.12490049,0.0017119373
52,6.729349900000001,0.1243289,0.0017365291
53,6.7595905,0.11840119,0.0017762047
54,6.7898304000000005,0.12087006,0.0019675244
55,6.820069900000001,0.1224231,0.0018345068
56,6.85031,0.11890834,0.0018247131
57,6.880559900000001,0.11868167,0.0019895082999999997
58,6.9107997999999995,0.1181897,0.0019627267
59,6.9410397,0.11629805,0.0017744957
60,6.9712804,0.11692156,0.0017619438
61,7.0015201000000005,0.12217709,0.0017689516
62,7.03177,0.11732143,0.0017614206
63,7.062009700000001,0.11443027,0.0017278928
64,7.092249799999999,0.11660643,0.0016998745999999999
65,7.122489900000001,0.10992195,0.0016657209
66,7.152730099999999,0.11833502,0.0021494382999999997
67,7.1829804,0.11878746,0.0016879332
68,7.2132203,0.1128357,0.0021638654
69,7.243460300000001,0.11197852,0.0022514113
70,7.2737005,0.1093632,0.0018824662
71,7.303939999999999,0.11512171,0.0019511463
72,7.3341898,0.10557544,0.0016754501
73,7.3644298,0.11193271,0.0020217235999999998
74,7.3946702,0.10380142,0.0011732299000000001
75,7.4249102,0.10331018,0.0021690957
76,7.455150200000001,0.10577565,0.0012577741
77,7.485400099999999,0.11286293,0.0024919619
78,7.5156396999999995,0.11179468,0.0012375342999999999
79,7.54588,0.1115426,0.0022075855
80,7.576119900000001,0.10912554,0.0015284074
81,7.636599900000001,0.10722993,0.0014683647
82,7.697090400000001,0.11040809,0.0009582595399999999
83,7.757569800000001,0.11154963,0.0007719933
84,7.818050099999999,0.10898266,0.0009116023599999999
85,7.8785398,0.10771549,0.0008012141499999999
86,7.939020299999999,0.10726453,0.0007453879400000001
87,7.9995095,0.11321508,0.00072835886
88,8.0599901,0.11364555,0.0007110940400000001
89,8.1204702,0.11505776,0.000705401
90,8.1809599,0.11891651,0.00070532847
