,wavelength,flux,sigma
0,5.1567602,2.3557425,0.0045440186
1,5.1869997,2.26327,0.0031680521000000002
2,5.217250099999999,2.2358456,0.0019650042000000003
3,5.247490099999999,2.1283554000000002,0.0018715654
4,5.27773,2.1240017000000004,0.0021379639
5,5.3079703,2.1200217999999995,0.0020142283
6,5.3382100999999995,2.1027632,0.0024498503
7,5.3684603,2.0759666,0.0017206978
8,5.3987004,2.0840158,0.0023574494
9,5.428939700000001,2.0956429,0.0023623779
10,5.459179799999999,2.0914558999999997,0.0016444078
11,5.48942,2.0634806,0.0021988642
12,5.5196698,2.0606847,0.0015955293
13,5.54991,2.0440414000000002,0.0015722946
14,5.5801499,2.0172636,0.0015794895
15,5.6103899,1.9978671000000001,0.0022053998
16,5.640630000000001,2.0307183,0.0021938694
17,5.670879599999999,1.9998325000000001,0.0015779773999999999
18,5.7011198,2.0098667000000003,0.0015901694
19,5.7313597000000005,1.9853845,0.0019876284
20,5.7615998,1.9790651999999997,0.0019412326999999998
21,5.7918402,1.951075,0.0016848437
22,5.8220903,1.9620341000000001,0.0019321354000000001
23,5.85233,1.9579351000000003,0.0017235404
24,5.8825699,1.9720842,0.0017326164000000001
25,5.9128097,1.9758822,0.0017680603
26,5.9430498,1.9520153999999998,0.0019624089
27,5.9733000999999994,1.9236893,0.0017418934
28,6.0035400999999995,1.9016343,0.0017259182
29,6.0337803,1.9177351999999999,0.0019810071
30,6.0640201,1.9101573,0.0017107775
31,6.0942599,1.8960668999999999,0.0016672579999999998
32,6.12451,1.8873826,0.001635361
33,6.1547497,1.8979571,0.0016320022
34,6.1849897,1.8773943,0.0016084825
35,6.215229900000001,1.8845003,0.0015923018
36,6.2454697999999995,1.874324,0.0015800619
37,6.2757203,1.8862947,0.0016143523000000002
38,6.3059599,1.8913836,0.0016328007999999998
39,6.3362,1.8736697,0.0016517306
40,6.3664401,1.8623817999999999,0.0022821382
41,6.3966802000000005,1.8789359,0.002307015
42,6.4269297,1.8996321,0.0017076491000000001
43,6.457170099999999,1.8853744,0.0016543585
44,6.487410099999999,1.8669903,0.0023552864
45,6.5176503,1.8639875,0.0017331498999999999
46,6.5478906,1.8924477,0.0024544102
47,6.578139999999999,1.8645644000000001,0.0025427291
