,wavelength,flux,sigma
0,5.187,1.0584200000000001,0.010579999999999999
1,5.2172,0.99206,0.012620000000000001
2,5.2475,0.9762799999999999,0.00976
3,5.2777,0.99411,0.009940000000000001
4,5.308,0.9900200000000001,0.0099
5,5.3382,0.98341,0.01158
6,5.3685,0.9985,0.00999
7,5.3987,0.99598,0.013359999999999999
8,5.4289,1.0095299999999998,0.01426
9,5.4592,0.9934700000000001,0.00993
10,5.4894,0.9781200000000001,0.00978
11,5.5197,0.97541,0.00975
12,5.5499,0.9641,0.009640000000000001
13,5.5802,0.9622,0.00962
14,5.6104,0.94065,0.00941
15,5.6406,0.9336700000000001,0.009340000000000001
16,5.6709,0.93004,0.0093
17,5.7011,0.9452,0.00945
18,5.7314,0.94185,0.01146
19,5.7616,0.9261799999999999,0.01568
20,5.7918,0.91555,0.02451
21,5.8221,0.9304,0.0105
22,5.8523,0.93465,0.01009
23,5.8826,0.94486,0.01372
24,5.9128,0.9165700000000001,0.009170000000000001
25,5.943,0.9287799999999999,0.009290000000000001
26,5.9733,0.9271799999999999,0.00927
27,6.0035,0.91099,0.00968
28,6.0338,0.91746,0.009170000000000001
29,6.064,0.93135,0.009309999999999999
30,6.0943,0.91171,0.00912
31,6.1245,0.9108700000000001,0.00911
32,6.1547,0.91686,0.009170000000000001
33,6.185,0.90966,0.0091
34,6.2152,0.89764,0.00898
35,6.2455,0.9031,0.00903
36,6.2757,0.89628,0.00896
37,6.306,0.8857799999999999,0.00886
38,6.3362,0.90555,0.009059999999999999
39,6.3664,0.9109799999999999,0.00911
40,6.3967,0.92543,0.00925
41,6.4269,0.9393799999999999,0.00939
42,6.4572,0.93348,0.00933
43,6.4874,0.97129,0.00971
44,6.5177,0.9671299999999999,0.01292
45,6.5479,0.9742799999999999,0.00974
46,6.5781,1.00429,0.01004
47,6.6084,1.02074,0.01737
48,6.6386,1.0362200000000001,0.01036
49,6.6689,0.9772700000000001,0.009770000000000001
50,6.6991,0.95375,0.00954
51,6.7294,0.96372,0.009640000000000001
52,6.7596,0.93627,0.00936
53,6.7898,0.95314,0.00953
54,6.8201,0.9691200000000001,0.00969
55,6.8503,0.96149,0.009609999999999999
56,6.8806,0.9629700000000001,0.00963
57,6.9108,0.95516,0.00955
58,6.941,0.95965,0.0096
59,6.9713,0.9554,0.00955
60,7.0015,0.9573,0.00957
61,7.0318,0.9523799999999999,0.00952
62,7.062,0.9631700000000001,0.00963
63,7.0922,0.9728899999999999,0.014209999999999999
64,7.1225,0.9658200000000001,0.010329999999999999
65,7.1527,0.9713799999999999,0.015309999999999999
66,7.183,0.97667,0.009770000000000001
67,7.2132,0.9761700000000001,0.01162
68,7.2435,0.9815200000000001,0.00982
69,7.2737,0.98413,0.00984
70,7.3039,0.98401,0.00984
71,7.3342,0.96715,0.01175
72,7.3644,0.97767,0.01548
73,7.3947,0.9667600000000001,0.00967
74,7.4249,0.9687399999999999,0.010020000000000001
75,7.4552,0.97519,0.00975
76,7.4854,1.0066899999999999,0.01366
77,7.5156,0.9617,0.00962
78,7.5459,0.9718100000000001,0.011040000000000001
79,7.5761,0.98662,0.00987
80,7.6366,0.9958100000000001,0.00996
81,7.6971,1.00647,0.01006
82,7.7576,1.03265,0.010329999999999999
83,7.818,1.04301,0.01043
84,7.8785,1.04863,0.010490000000000001
85,7.939,1.0595700000000001,0.0106
86,7.9995,1.06098,0.01061
87,8.06,1.06999,0.0107
88,8.1205,1.07713,0.01077
89,8.181,1.087,0.0169
90,8.2414,1.0955700000000002,0.01656
91,8.3019,1.10978,0.0111
92,8.3624,1.1248799999999999,0.01125
93,8.4229,1.1307,0.011309999999999999
94,8.4834,1.1524299999999998,0.01152
95,8.5439,1.17212,0.01172
96,8.6043,1.19402,0.011940000000000001
97,8.6648,1.2019,0.01202
98,8.7253,1.23755,0.01238
99,8.7858,1.2575399999999999,0.01444
100,8.8463,1.28245,0.015090000000000001
101,8.9068,1.30135,0.01769
102,8.9672,1.33341,0.01889
103,9.0277,1.36639,0.01371
104,9.0882,1.40178,0.01402
105,9.1487,1.4306,0.01461
106,9.2092,1.45399,0.01454
107,9.2697,1.4884899999999999,0.01488
108,9.3301,1.49966,0.015
109,9.3906,1.5073299999999998,0.015069999999999998
110,9.4511,1.53646,0.015359999999999999
111,9.5116,1.54922,0.01549
112,9.5721,1.54814,0.01548
113,9.6326,1.55811,0.015580000000000002
114,9.6931,1.5712899999999999,0.01571
115,9.7535,1.57423,0.01574
116,9.814,1.57333,0.01573
117,9.8745,1.57917,0.015790000000000002
118,9.935,1.5924399999999999,0.01592
119,9.9955,1.5947,0.01595
120,10.056,1.5926200000000001,0.01593
121,10.1164,1.58191,0.015819999999999997
122,10.1769,1.57059,0.01571
123,10.2374,1.55233,0.015519999999999999
124,10.2979,1.54201,0.01542
125,10.3584,1.53962,0.0154
126,10.4188,1.5467899999999999,0.01547
127,10.4793,1.52426,0.01524
128,10.5398,1.52207,0.01522
129,10.6003,1.5155100000000001,0.02102
130,10.6608,1.5041799999999999,0.015040000000000001
131,10.7213,1.50824,0.015080000000000001
132,10.7817,1.50367,0.015040000000000001
133,10.8422,1.4895,0.0149
134,10.9027,1.49101,0.01491
135,10.9632,1.48821,0.01488
136,11.0237,1.50061,0.015009999999999999
137,11.0842,1.48317,0.014830000000000001
138,11.1447,1.46374,0.01464
139,11.2051,1.46694,0.014669999999999999
140,11.2656,1.45743,0.01457
141,11.3261,1.427,0.01427
142,11.3866,1.42144,0.01609
143,11.4471,1.39283,0.013930000000000001
144,11.5076,1.37412,0.01374
145,11.568,1.36443,0.013640000000000001
146,11.6285,1.34419,0.01344
147,11.689,1.3311899999999999,0.013309999999999999
148,11.7495,1.31284,0.013130000000000001
149,11.81,1.28882,0.01289
150,11.8705,1.2611700000000001,0.01261
151,11.9309,1.2496,0.014190000000000001
152,11.9914,1.24361,0.012440000000000001
153,12.0519,1.2309700000000001,0.01231
154,12.1124,1.2175799999999999,0.01218
155,12.1729,1.20764,0.01208
156,12.2334,1.215,0.01215
157,12.2938,1.2142899999999999,0.01214
158,12.3543,1.2209,0.012209999999999999
159,12.4148,1.2392299999999998,0.01239
160,12.4753,1.2455399999999999,0.012459999999999999
161,12.5358,1.23545,0.01235
162,12.5963,1.21252,0.01213
