wavelength,flux,sigma
5.24749,0.173040958332216,0.011797
5.27773,0.167941145857319,0.015889
5.30797,0.166689362762229,0.022401
5.33821,0.166236795027851,0.009951
5.36846,0.163892108999742,0.010234
5.3987,0.168938961420616,0.009934
5.42894,0.165507390647443,0.017451
5.45918,0.16372239609935,0.015081
5.48942,0.162752264200655,0.007645
5.51967,0.159869552169176,0.009158
5.54991,0.166136893107762,0.007345
5.58015,0.16283170428169,0.010453
5.61039,0.158456481636835,0.010498
5.64063,0.158080946708308,0.010193
5.67088,0.149884174710656,0.009433
5.70112,0.155976988198485,0.009794
5.73136,0.166166984047548,0.009239
5.7616,0.157096371158517,0.009068
5.79184,0.160561643784249,0.012315
5.82209,0.16177250320123,0.007939
5.85233,0.161947030651987,0.01062
5.88257,0.159448279012175,0.011488
5.91281,0.160601363824767,0.00903
5.94305,0.164507167808963,0.010938
5.9733,0.167855687588327,0.007031
6.00354,0.161139389828137,0.00766
6.03378,0.158549161731375,0.008117
6.06402,0.156595657920481,0.009115
6.09426,0.159321897065074,0.008477
6.12451,0.161366877332917,0.008464
6.15475,0.160122316063377,0.018221
6.18499,0.159004136740936,0.009582
6.21523,0.157530884329024,0.008584
6.24547,0.156753334444959,0.015544
6.27572,0.148495176930144,0.010694
6.30596,0.155411278530512,0.011014
6.3362,0.16273059872401,0.009589
6.36644,0.160870978645247,0.009165
6.39668,0.156979618312148,0.016172
6.42693,0.156306784898537,0.02104
6.45717,0.155659227874347,0.008185
6.48741,0.15976363206113,0.008567
6.51765,0.156717225317216,0.008646
6.54789,0.156919436432576,0.009933
6.57814,0.155803664385319,0.030304
6.60838,0.156163552025157,0.029437
6.63862,0.1602174034331,0.012832
6.66886,0.15060996817829,0.008886
6.6991,0.144326979951015,0.009793
6.72935,0.151504270908724,0.009621
6.75959,0.154875659802325,0.008671
6.78983,0.153668411298118,0.011186
6.82007,0.148437402325755,0.01192
6.85031,0.153799607795585,0.011876
6.88056,0.16041118908532,0.010645
6.9108,0.155481089510815,0.018544
6.94104,0.153845346024059,0.011798
6.97128,0.160306472614866,0.013514
7.00152,0.160795149476987,0.010794
7.03177,0.156104573783177,0.020207
7.06201,0.159172646003737,0.013665
7.09225,0.154565121303735,0.012865
7.12249,0.153657578559796,0.011226
7.15273,0.159794926638507,0.013918
7.18298,0.159022191304808,0.012478
7.21322,0.156699170753344,0.014758
7.24346,0.152378111800103,0.011742
7.2737,0.151084201389314,0.011491
7.30394,0.158668321852927,0.011026
7.33419,0.156546308779232,0.012715
7.36443,0.162214238197285,0.013461
7.39467,0.157879939230539,0.012304
7.42491,0.167675141949612,0.011513
7.45515,0.161937401551256,0.014075
7.4854,0.15774633545789,0.011869
7.57612,0.161441502863586,0.009931
7.6366,0.166514835311472,0.011114
7.69709,0.161333175480357,0.0196
7.75757,0.160920327786496,0.007108
7.81805,0.160124723338559,0.008775
7.87854,0.163018268108362,0.01127
7.93902,0.163103726377354,0.007691
7.99951,0.163889701724559,0.008327
8.05999,0.164205054773514,0.009052
8.12047,0.169957238822967,0.006471
8.18096,0.175342313407034,0.006887
8.24144,0.176719274811632,0.007726
8.30192,0.18018093652459,0.01573
8.36241,0.195853501602626,0.007236
8.42289,0.194354972801293,0.026551
8.48337,0.197005382777626,0.011174
8.54386,0.197957460112449,0.008297
8.60434,0.20253128295989,0.00801
8.66483,0.206516527025122,0.00697
8.72531,0.209505159164647,0.007682
8.78579,0.21366011613027,0.00746
8.84628,0.220506406750335,0.007942
8.90676,0.222731932656893,0.019253
8.96724,0.228325236544277,0.007298
9.02773,0.235742051382681,0.007834
9.08821,0.243823274171555,0.013892
9.14869,0.251252125385873,0.007717
9.20918,0.261421659395882,0.007109
9.26966,0.264005869304686,0.012081
9.33015,0.266958392316469,0.007194
9.39063,0.27155749155333,0.010445
9.45111,0.281943680329797,0.00743
9.5116,0.284401508291501,0.010322
9.57208,0.285751989669088,0.006976
9.63256,0.286637866936381,0.007371
9.69305,0.288133988462531,0.009145
9.75353,0.286939979971831,0.00691
9.81401,0.291478897329121,0.00687
9.8745,0.295190915661097,0.007462
9.93498,0.293433604777606,0.007618
9.99547,0.29543766136734,0.011513
10.004904,0.292132,0.005807
10.012988,0.291548,0.00716
10.021071,0.295842,0.007403
10.029154,0.28339,0.00663
10.037234,0.284363,0.004844
10.045313,0.284908,0.007353
10.053392,0.286596,0.006764
10.061468,0.288242,0.005177
10.069544,0.283487,0.006275
10.077618,0.293894,0.005711
10.08569,0.284957,0.006162
10.093762,0.284818,0.006085
10.101832,0.293327,0.004412
10.109901,0.285622,0.005288
10.118013,0.288772,0.005123
10.12608,0.289277,0.005255
10.134145,0.284093,0.003311
10.142208,0.298115,0.003666
10.15027,0.288549,0.003819
10.158331,0.284439,0.002933
10.16639,0.297421,0.003665
10.174449,0.284431,0.004418
10.182506,0.287827,0.004937
10.190561,0.285846,0.082422
10.198615,0.287743,0.002631
10.206668,0.28496,0.004719
10.21472,0.28404,0.004264
10.222769,0.294291,0.002965
10.230818,0.287059,0.003358
10.238866,0.284332,0.00355
10.246912,0.29498,0.004641
10.254956,0.289805,0.002554
10.263,0.293088,0.003038
10.271043,0.287605,0.002743
10.279083,0.285716,0.004003
10.287123,0.29853,0.003615
10.295161,0.282587,0.00315
10.303198,0.289116,0.004144
10.311234,0.290984,0.006969
10.319268,0.287102,0.00426
10.327301,0.292595,0.003217
10.335333,0.287234,0.006761
10.343363,0.289707,0.006412
10.351392,0.281887,0.006821
10.359468,0.287088,0.00509
10.367495,0.294094,0.008923
10.37552,0.282691,0.00505
10.383543,0.29066,0.005842
