wavelength,flux,sigma
5.24749,0.135031714988155,0.008277
5.27773,0.144525245365225,0.00797
5.30797,0.147414490937197,0.008659
5.33821,0.144640856477787,0.009392
5.36846,0.150913791576347,0.008102
5.3987,0.145783548456413,0.010868
5.42894,0.147534231018064,0.012811
5.45918,0.146429731996267,0.014392
5.48942,0.143634420453253,0.010199
5.51967,0.145752581194119,0.013885
5.54991,0.142010703667004,0.010081
5.58015,0.144404473042281,0.008392
5.61039,0.149167237983001,0.009902
5.64063,0.146190251834532,0.010273
5.67088,0.14098671952717,0.008091
5.70112,0.145201363925297,0.012983
5.73136,0.145218912040597,0.013698
5.7616,0.138635272077027,0.007845
5.79184,0.143518809340691,0.007516
5.82209,0.147669454730079,0.019666
5.85233,0.154713474659743,0.008711
5.88257,0.150893146734818,0.008004
5.91281,0.147100689345957,0.008838
5.94305,0.148797695319634,0.009163
5.9733,0.148477700275936,0.007249
6.00354,0.149446975585718,0.01055
6.03378,0.15079405149548,0.008447
6.06402,0.152033774229291,0.008837
6.09426,0.149782454260563,0.008801
6.12451,0.148350734500533,0.0084
6.15475,0.150630957247401,0.01067
6.18499,0.150540119944674,0.01358
6.21523,0.149830969638156,0.027235
6.24547,0.15010864275672,0.021004
6.27572,0.149456265764406,0.02019
6.30596,0.141610193741343,0.01147
6.3362,0.143043977985526,0.011515
6.36644,0.147065593115358,0.010491
6.39668,0.150275865973104,0.01865
6.42693,0.150032256843063,0.021952
6.45717,0.150597925500955,0.010745
6.48741,0.14990219434143,0.010526
6.51765,0.146671276642156,0.014289
6.54789,0.149529554951834,0.017524
6.57814,0.152310415105778,0.009817
6.60838,0.155058243513276,0.009626
6.63862,0.15504275988213,0.008712
6.66886,0.152351704788836,0.010508
6.6991,0.14799151425793,0.012418
6.72935,0.152293899232555,0.014582
6.75959,0.146037480007218,0.008436
6.78983,0.156575639365651,0.01328
6.82007,0.159620753491166,0.011428
6.85031,0.152892599636893,0.022528
6.88056,0.153761747465261,0.010706
6.9108,0.151413396741347,0.010796
6.94104,0.156698476172748,0.012542
6.97128,0.148046223087981,0.013239
7.00152,0.141525549891074,0.014465
7.03177,0.152075063912348,0.028737
7.06201,0.147840806914769,0.011255
7.09225,0.155645589254774,0.015004
7.12249,0.151661134839694,0.014218
7.15273,0.150464766273093,0.013784
7.18298,0.149144528657319,0.017122
7.21322,0.146669212158003,0.010386
7.24346,0.14951303907861,0.01085
7.2737,0.154777473668483,0.012773
7.30394,0.148880274685749,0.017032
7.33419,0.149162076772619,0.013545
7.36443,0.148852404149685,0.013539
7.39467,0.150185028670377,0.011998
7.42491,0.151800487520014,0.020562
7.45515,0.14473582274882,0.015164
7.4854,0.151898550517276,0.013917
7.57612,0.153892842208969,0.013355
7.6366,0.156778991054711,0.009247
7.69709,0.166011364186441,0.011313
7.75757,0.161703818001433,0.01321
7.81805,0.159726042182963,0.010148
7.87854,0.163691916240667,0.012465
7.93902,0.169258797758938,0.017324
7.99951,0.172553714466953,0.022389
8.05999,0.171656696102522,0.023506
8.12047,0.171863144517811,0.016459
8.18096,0.168261651913092,0.010848
8.24144,0.173979240774524,0.011814
8.30192,0.187003039053038,0.009475
8.36241,0.189442227079679,0.009133
8.42289,0.185749897172233,0.013361
8.48337,0.181848022123269,0.01102
8.54386,0.18752535354372,0.016128
8.60434,0.18886417151687,0.022868
8.66483,0.190992654678501,0.021995
8.72531,0.191548000915628,0.018081
8.78579,0.18864636843874,0.010766
8.84628,0.190125571334286,0.014153
8.90676,0.194646791629118,0.014485
8.96724,0.199616004985127,0.021945
9.02773,0.199604650322286,0.013694
9.08821,0.202579571986602,0.012654
9.14869,0.208026713424006,0.011598
9.20918,0.207314466391258,0.026048
9.26966,0.204516058122014,0.021178
9.33015,0.203525105728627,0.021894
9.39063,0.212777091459809,0.009469
9.45111,0.206636283347034,0.024725
9.5116,0.207097695555205,0.038264
9.57208,0.207444528892891,0.030582
9.63256,0.208510834957859,0.025962
9.69305,0.207147243174874,0.022118
9.75353,0.208809152917952,0.013952
9.81401,0.209902297276908,0.027361
9.8745,0.21040396692606,0.025758
9.93498,0.215188408950386,0.01461
9.99547,0.210355451548467,0.01394
10.004904,0.211696,0.00283
10.012988,0.214506,0.003778
10.021071,0.223741,0.00368
10.029154,0.217259,0.003573
10.037234,0.215177,0.003372
10.045313,0.21701,0.004665
10.053392,0.21234,0.004213
10.061468,0.214298,0.003013
10.069544,0.210314,0.004249
10.077618,0.211866,0.003449
10.08569,0.214642,0.004067
10.093762,0.211169,0.003875
10.101832,0.21417,0.00339
10.109901,0.215337,0.003915
10.118013,0.212287,0.002976
10.12608,0.216732,0.003599
10.134145,0.211601,0.002566
10.142208,0.213427,0.002079
10.15027,0.213765,0.002269
10.158331,0.20785,0.00161
10.16639,0.217092,0.002072
10.174449,0.214469,0.003435
10.182506,0.211413,0.003498
10.190561,0.210819,0.070596
10.198615,0.21713,0.002825
10.206668,0.210663,0.003587
10.21472,0.210646,0.003504
10.222769,0.21754,0.003138
10.230818,0.207815,0.003284
10.238866,0.209411,0.003497
10.246912,0.214019,0.003488
10.254956,0.215377,0.001746
10.263,0.212965,0.00189
10.271043,0.212384,0.003847
10.279083,0.213308,0.002247
10.287123,0.214978,0.001824
10.295161,0.211545,0.004135
10.303198,0.214217,0.001927
10.311234,0.213415,0.001812
10.319268,0.213944,0.001301
10.327301,0.214994,0.002033
10.335333,0.217494,0.002562
10.343363,0.217183,0.002462
10.351392,0.206555,0.002648
10.359468,0.214742,0.001957
10.367495,0.214154,0.00364
10.37552,0.209487,0.002023
10.383543,0.219428,0.003153
10.391566,0.214326,0.002364
10.399588,0.215426,0.002765
10.407607,0.219072,0.00172
10.415627,0.215303,0.001889
10.423643,0.213942,0.002304
10.43166,0.216515,0.001429
10.439674,0.216617,0.002599
10.447687,0.216289,0.002667
10.455699,0.216516,0.003684
10.46371,0.21145,0.003286
10.47172,0.212854,0.004718
10.479728,0.215029,0.003952
10.487734,0.214442,0.004497
10.495739,0.213682,0.002677
10.508369,0.218423,0.063654
10.516876,0.224482,0.09457
10.525383,0.221511,0.003817
10.533886,0.216215,0.004226
10.542389,0.215396,0.002606
10.55089,0.218736,0.003578
10.559389,0.216051,0.003827
10.567888,0.220018,0.022017
10.576385,0.214649,0.003742
10.584881,0.215609,0.003998
10.593374,0.220816,0.003472
10.601867,0.218226,0.004469
10.610357,0.216013,0.003569
10.618847,0.213406,0.002918
10.627336,0.22156,0.004961
10.635822,0.219341,0.004391
10.644308,0.219748,0.003391
10.652792,0.22089,0.002823
10.661275,0.220269,0.003857
10.669756,0.219914,0.00171
10.678236,0.215285,0.001746
10.686714,0.21928,0.002355
10.695191,0.221702,0.002407
10.703667,0.217983,0.002069
10.712141,0.221364,0.003449
10.720613,0.221228,0.00208
10.729086,0.221476,0.002988
10.737556,0.220016,0.001877
10.746024,0.220729,0.003089
10.754491,0.220122,0.003142
10.762957,0.219149,0.002191
10.771421,0.219849,0.001974
10.779884,0.218636,0.002526
10.788345,0.225868,0.002451
10.796806,0.216177,0.001773
10.805264,0.218574,0.003329
10.813723,0.217209,0.002409
10.822178,0.220511,0.003782
10.830633,0.219356,0.002984
10.839087,0.218033,0.00231
10.847538,0.220108,0.003155
10.855988,0.219331,0.002403
10.864437,0.220274,0.002913
10.872885,0.220427,0.003802
10.88133,0.221998,0.001986
10.889775,0.218395,0.0033
