,wavelength,flux,sigma,order
0,5.24749,0.353582,0.014837000000000001,2.0
1,5.27773,0.347056,0.015688999999999998,2.0
2,5.30797,0.34170100000000003,0.017203,2.0
3,5.33821,0.33881500000000003,0.013798,2.0
4,5.36846,0.33699,0.027526,2.0
5,5.3987,0.337269,0.022394,2.0
6,5.42894,0.330377,0.015943000000000002,2.0
7,5.45918,0.33699,0.012077,2.0
8,5.48942,0.334332,0.011703,2.0
9,5.51967,0.338213,0.009943,2.0
10,5.54991,0.337359,0.009786,2.0
11,5.58015,0.343561,0.010751,2.0
12,5.61039,0.33873200000000003,0.011549,2.0
13,5.640630000000001,0.334552,0.014468,2.0
14,5.67088,0.340649,0.01048,2.0
15,5.7011199999999995,0.33727199999999996,0.009328,2.0
16,5.73136,0.338096,0.010620000000000001,2.0
17,5.7616,0.337038,0.014534,2.0
18,5.7918400000000005,0.33922399999999997,0.015516,2.0
19,5.82209,0.342937,0.012076,2.0
20,5.85233,0.3462,0.016647,2.0
21,5.882569999999999,0.351143,0.015792,2.0
22,5.9128099999999995,0.34563499999999997,0.015648,2.0
23,5.94305,0.34938400000000003,0.014185,2.0
24,5.9733,0.34417,0.013123,2.0
25,6.00354,0.339552,0.021345,2.0
26,6.03378,0.345671,0.018905,2.0
27,6.064019999999999,0.348393,0.018340000000000002,2.0
28,6.09426,0.339952,0.018767,2.0
29,6.12451,0.349665,0.012767,2.0
30,6.15475,0.355628,0.011098,2.0
31,6.18499,0.352545,0.029767000000000002,2.0
32,6.21523,0.360412,0.016390000000000002,2.0
33,6.24547,0.35112,0.010784,2.0
34,6.27572,0.350007,0.012175,2.0
35,6.30596,0.358554,0.01193,2.0
36,6.3362,0.36604200000000003,0.012726000000000001,2.0
37,6.36644,0.36354699999999995,0.012608,2.0
38,6.39668,0.366132,0.014987,2.0
39,6.4269300000000005,0.369456,0.014977,2.0
40,6.45717,0.36656500000000003,0.013965,2.0
41,6.48741,0.370556,0.014266999999999998,2.0
42,6.51765,0.375456,0.015172999999999999,2.0
43,6.54789,0.37253000000000003,0.012628,2.0
44,6.578139999999999,0.378517,0.014719999999999999,2.0
45,6.60838,0.378945,0.015021000000000001,2.0
46,6.6386199999999995,0.381887,0.017693,2.0
47,6.6688600000000005,0.36689,0.017698,2.0
48,6.6991,0.37391199999999997,0.013934,2.0
49,6.72935,0.378947,0.019049,2.0
50,6.759589999999999,0.376868,0.013703,2.0
51,6.78983,0.377797,0.020063,2.0
52,6.820069999999999,0.373542,0.019298,2.0
53,6.85031,0.37332600000000005,0.018434,2.0
54,6.880560000000001,0.38902600000000004,0.0188,2.0
55,6.9108,0.386947,0.013841999999999998,2.0
56,6.941039999999999,0.37349899999999997,0.014048,2.0
57,6.97128,0.375974,0.015533000000000002,2.0
58,7.001519999999999,0.37708400000000003,0.016298,2.0
59,7.03177,0.382312,0.023447,2.0
60,7.062010000000001,0.383234,0.04055,2.0
61,7.09225,0.38753699999999996,0.013783000000000002,2.0
62,7.122489999999999,0.38145999999999997,0.014591,2.0
63,7.15273,0.38606399999999996,0.014174,2.0
64,7.182980000000001,0.383577,0.018392,2.0
65,7.21322,0.395411,0.014913999999999998,2.0
66,7.243460000000001,0.397549,0.019402000000000003,2.0
67,7.2737,0.39665100000000003,0.018838999999999998,2.0
68,7.303939999999999,0.393793,0.023521,2.0
69,7.3341899999999995,0.38655,0.018269999999999998,2.0
70,7.3644300000000005,0.394219,0.023329,2.0
71,7.39467,0.385327,0.017844,2.0
72,7.424910000000001,0.376927,0.027568000000000002,2.0
73,7.45515,0.393036,0.078198,2.0
74,7.4854,0.389923,0.022353,2.0
75,7.5761199999999995,0.383461,0.015040999999999999,1.0
76,7.6366,0.395364,0.012927000000000001,1.0
77,7.697089999999999,0.39969899999999997,0.016,1.0
78,7.757569999999999,0.404575,0.011217,1.0
79,7.81805,0.407461,0.013748,1.0
80,7.878539999999999,0.42243800000000004,0.011755,1.0
81,7.939019999999999,0.42686499999999994,0.010716,1.0
82,7.999510000000001,0.43201300000000004,0.010448,1.0
83,8.059989999999999,0.453758,0.023783000000000002,1.0
