,wavelength,flux,sigma
0,5.30797,0.222816,0.0049155
1,5.3382100999999995,0.2359783,0.0036033000000000003
2,5.3684601999999995,0.24242049999999998,0.0045276000000000005
3,5.3987002,0.22238629999999998,0.005162600000000001
4,5.4289398,0.21251199999999998,0.0049185
5,5.4591799000000005,0.2190268,0.0052286
6,5.4894199,0.21288629999999997,0.0033909
7,5.51967,0.21769629999999998,0.0015526
8,5.549910099999999,0.22093049999999997,0.0025295
9,5.5801501,0.22589220000000002,0.003064
10,5.6103902,0.2167677,0.00958
11,5.640629799999999,0.2137699,0.0036865
12,5.6708798,0.21410700000000002,0.0009922000000000002
13,5.7011199,0.2123442,0.003739
14,5.73136,0.2039361,0.006389
15,5.7616,0.21601750000000003,0.0046069
16,5.7918401,0.2066672,0.0008225
17,5.8220901,0.2099512,0.0006876
18,5.8523302,0.2156518,0.0046052
19,5.8825698,0.21329299999999998,0.0027156999999999997
20,5.9128098,0.2140944,0.0018295000000000002
21,5.9430499,0.2158609,0.0041383999999999995
22,5.9733,0.20612600000000003,0.0014068
23,6.00354,0.20693499999999998,0.0019948
24,6.0337800999999995,0.20805349999999997,0.0052397
25,6.064020200000001,0.20062839999999998,0.0032795000000000003
26,6.0942602,0.2062404,0.0020122
27,6.1245098,0.1977194,0.0014837
28,6.1547499000000006,0.2075571,0.0012465999999999998
29,6.184989900000001,0.20964970000000002,0.0036766999999999998
30,6.21523,0.1993802,0.0029157
31,6.24547,0.2083221,0.0118352
32,6.275720099999999,0.2048025,0.0037207
33,6.3059601999999995,0.2052596,0.0016041
34,6.3362002,0.2029516,0.0020021
35,6.3664398,0.1963883,0.0047168
36,6.3966799000000005,0.2042098,0.0058426
37,6.4269300000000005,0.19649570000000002,0.0010799000000000002
38,6.45717,0.1959281,0.0028204999999999997
39,6.487410099999999,0.2002025,0.0077434
40,6.5176501,0.19628220000000002,0.002468
41,6.5478902,0.1874098,0.0012571
42,6.5781398,0.1924003,0.0065881
43,6.6083798,0.1846095,0.0068757
44,6.638619900000001,0.18245820000000001,0.0017045
45,6.6688600000000005,0.1847623,0.0032020000000000004
46,6.6991,0.1858101,0.0027548000000000004
47,6.729350099999999,0.1841139,0.004907
48,6.7595901,0.19457660000000002,0.000526
49,6.7898302,0.1963198,0.0052508
50,6.820069800000001,0.1976643,0.0025588
51,6.8503098,0.1892655,0.001953
52,6.880559900000001,0.1875525,0.0033598
53,6.9108,0.1856524,0.0019999
54,6.941039999999999,0.194227,0.003607
55,6.9712800999999995,0.2026561,0.010043999999999999
56,7.001520200000001,0.1915406,0.013936600000000002
57,7.0317702,0.1790954,0.0016945999999999999
58,7.0620098,0.1904776,0.0009516
59,7.092249900000001,0.19444460000000002,0.003908699999999999
60,7.122489900000001,0.18227020000000002,0.007815100000000002
61,7.15273,0.18724010000000002,0.0075334
62,7.182980099999999,0.20077620000000002,0.0081099
63,7.2132201,0.21014970000000002,0.0043915
64,7.2434601999999995,0.1919629,0.0065843
65,7.2737002,0.1866274,0.0035138000000000005
66,7.3039398,0.182552,0.00032439999999999997
67,7.3341899,0.1907914,0.0078536
68,7.3644300000000005,0.17995899999999998,0.0005769999999999999
69,7.39467,0.1822711,0.0081053
70,7.424910099999999,0.208013,0.012001399999999999
71,7.455150099999999,0.22753969999999998,0.0146529
72,7.485400200000001,0.23112979999999997,0.013089199999999999
73,7.5156398,0.20654770000000003,0.0065596000000000005
74,7.5458798,0.18572829999999999,0.0065955
75,7.576119900000001,0.18988,0.0016439
76,7.6366,0.1783669,0.0112882
77,7.6970901,0.1791556,0.0074245000000000005
78,7.757569800000001,0.18187029999999998,0.0019605
79,7.818049900000001,0.1844967,0.006370499999999999
80,7.878539999999999,0.1873241,0.0108974
81,7.939020200000001,0.1876672,0.0097611
82,7.9995098,0.199846,0.0063453
83,8.0599899,0.21149810000000002,0.0060592
84,8.12047,0.22481109999999999,0.0086181
85,8.1809597,0.2391343,0.0100701
86,8.2414398,0.24576460000000003,0.0111526
87,8.301919900000001,0.2543124,0.009775200000000001
88,8.3624096,0.2661872,0.0072087
89,8.422889699999999,0.2734271,0.0048872
90,8.4833698,0.2884507,0.0010602
91,8.5438604,0.28641479999999997,0.0039705999999999995
92,8.6043396,0.2970177,0.0022890000000000002
93,8.664830199999999,0.31401209999999996,0.0050108
94,8.7253103,0.3255093,0.0034528
95,8.785790400000002,0.3439475,0.0026944000000000004
96,8.8462801,0.35666659999999994,0.0022267
97,8.906760199999999,0.377241,0.0054038
98,8.9672403,0.4092095,0.0139301
99,9.02773,0.44166140000000004,0.006767100000000001
100,9.0882101,0.45583779999999996,0.007268800000000001
101,9.148690199999999,0.4825777,0.0037927
102,9.2091799,0.5044525,0.005586
103,9.26966,0.517069,0.0038979999999999996
104,9.330149699999998,0.5402475,0.0084584
105,9.390629800000001,0.5629283,0.0010947
106,9.4511099,0.5712603,0.0014715
107,9.511599499999999,0.5791234000000001,0.0063085
108,9.5720797,0.5961778,0.0024934000000000002
109,9.632559800000001,0.604895,0.004933399999999999
110,9.6930504,0.6178206,0.0017065000000000001
111,9.753529499999999,0.6230533,0.0028982
112,9.8140097,0.6359543000000001,0.002134
113,9.874500300000001,0.6546499,0.0030022
114,9.9349804,0.6629983,0.0046331
115,9.99547,0.6653347,0.0029281
116,10.0559502,0.6730559,0.0013824000000000002
117,10.116430300000001,0.6800473000000001,0.0025704
118,10.176919900000001,0.683505,0.0028491999999999996
119,10.237400099999999,0.6854359,0.003222
120,10.2978802,0.689662,0.0017259
121,10.3583698,0.6949241,0.0023829
122,10.418849900000001,0.7008041,0.0042715
123,10.479330099999999,0.7044530999999999,0.0017539
124,10.539819699999999,0.7056885,0.0074643
125,10.6002998,0.6926800000000001,0.0036478
126,10.660790400000002,0.6963265999999999,0.010812899999999999
127,10.7212696,0.7010128000000001,0.008227600000000002
128,10.781749699999999,0.7035139,0.0036235
129,10.8422403,0.6985279000000001,0.0015600999999999998
130,10.902720500000001,0.6973629,0.0013687
131,10.9631996,0.6899214,0.0017442
132,11.023690199999999,0.6960139,0.003387
133,11.0841703,0.6983010000000001,0.0065593000000000005
134,11.144650500000001,0.6831845,0.0027658
135,11.2051401,0.6799173000000001,0.0051681999999999995
136,11.265620199999999,0.6823893,0.0018241
137,11.3261099,0.6789158000000001,0.0058785
138,11.38659,0.6637793000000001,0.002322
139,11.4470701,0.6465361,0.001626
140,11.507559800000001,0.6303868,0.0030909
141,11.5680399,0.6253811,0.0024514
142,11.62852,0.6120682,0.0026798
143,11.6890097,0.6029720000000001,0.0033745
144,11.749489800000001,0.5849681,0.0033919
145,11.8099699,0.5756,0.0016642
146,11.870459599999998,0.5583271,0.0131439
147,11.9309397,0.5568088999999999,0.0033277999999999997
148,11.991430300000001,0.5443496,0.0032042999999999998
149,12.0519104,0.5342835,0.0037864000000000005
150,12.1123896,0.5221355999999999,0.002908
151,12.1728802,0.5090110999999999,0.011784000000000001
152,12.233360300000001,0.5075799,0.0079625
153,12.2938404,0.4936915,0.0120933
154,12.354330099999999,0.5141752,0.0012916
155,12.4148102,0.5181715,0.0020049
156,12.475290300000001,0.5049829,0.0019014
157,12.53578,0.4981207,0.0022007
158,12.5962601,0.49773670000000003,0.0030219
159,12.656749699999999,0.5011475999999999,0.0015014000000000002
160,12.7172298,0.5083475000000001,0.0029024999999999997
161,12.77771,0.5218119999999999,0.0032404000000000005
162,12.8381996,0.5315405,0.0011750999999999999
163,12.898679699999999,0.5168586,0.0013135999999999998
164,12.9591599,0.5069237,0.0020412
165,13.019650500000001,0.5146864000000001,0.0056777
166,13.0801296,0.5221699000000001,0.009122499999999999
167,13.140609699999999,0.5260412,0.0098682
168,13.2011003,0.5317637,0.0140157
169,13.261580499999999,0.5361993,0.012914700000000001
170,13.3220596,0.5285532,0.0049085
171,13.382550199999997,0.5374515999999999,0.0108548
172,13.4430304,0.5457025,0.010663200000000001
173,13.503520000000002,0.5536726,0.0109897
174,13.5640001,0.5557344,0.0044740000000000005
175,13.624480199999999,0.5692288000000001,0.0058717
176,13.684969899999999,0.5727342,0.0149112
177,13.74545,0.5853536,0.009386700000000001
178,13.805930100000001,0.5885898,0.006432899999999999
179,13.866419800000001,0.5950536,0.0093733
180,13.9268999,0.5933304,0.0039280999999999995
181,13.987379999999998,0.5950698,0.0128363
182,14.047869699999998,0.6072586999999999,0.009119200000000001
183,14.108349800000003,0.6116425999999999,0.014531799999999997
184,14.1688404,0.6147236999999999,0.0162718
185,14.2293196,0.6216472,0.0159054
