,wavelength,flux,sigma
0,5.1567601,0.96274902,0.0043539349
1,5.1869999,0.9263024,0.0030718504
2,5.2172498,0.92512073,0.0025456004
3,5.24749,0.89112007,0.0027127958000000003
4,5.2777301,0.90199806,0.0018668729999999998
5,5.307970200000001,0.88886071,0.0018420987
6,5.3382102,0.88346915,0.002481695
7,5.3684599,0.88247559,0.0022221969
8,5.3987003,0.88181004,0.0020510910999999997
9,5.4289398,0.87133904,0.0018189984
10,5.4591799000000005,0.8682967,0.0017836848999999999
11,5.48942,0.85077366,0.0024964693
12,5.51967,0.85568156,0.0017142560999999998
13,5.54991,0.83407878,0.0024787408
14,5.5801503,0.82956721,0.0016961803
15,5.6103902,0.83224131,0.0016895798000000001
16,5.640630000000001,0.83048442,0.0020081739
17,5.67088,0.83107089,0.0019829749
18,5.7011198,0.83347709,0.0016095026
19,5.7313602,0.8278525,0.0016037573
20,5.7615999,0.81695791,0.0016183026
21,5.7918400000000005,0.81212078,0.0016321604999999999
22,5.8220902,0.81150311,0.0016411044
23,5.8523303,0.8075293,0.0016468773999999999
24,5.8825698,0.81591431,0.0016632889
25,5.9128099999999995,0.81437324,0.0016825845000000002
26,5.9430498,0.79756355,0.001697931
27,5.9733000999999994,0.80026057,0.0017246401000000002
28,6.0035398,0.78421785,0.0018062456
29,6.0337803,0.7870049,0.0017447078
30,6.064020200000001,0.78702802,0.0021392373999999997
31,6.0942601,0.78376891,0.0018531031
32,6.1245098,0.76780215,0.0024181439
33,6.1547498,0.77724505,0.0025414084
34,6.1849897,0.76690563,0.0021730212
35,6.21523,0.7704954,0.0017467779
36,6.2454704,0.75967948,0.0017196804999999999
37,6.2757202,0.76042054,0.0022363058
38,6.3059603,0.75731017,0.0019218953
39,6.3362003,0.75017703,0.0017250054
40,6.3664401,0.74582888,0.0017158188
41,6.396679799999999,0.75503236,0.0019376998
42,6.4269298,0.7531702,0.0018580428
43,6.457170099999999,0.74700468,0.0016471543
44,6.4874099,0.75429372,0.0016620461
45,6.5176499,0.73536845,0.0016716335999999998
46,6.5478903,0.73858768,0.0017219691
47,6.5781396999999995,0.74515233,0.0022403319000000002
48,6.6083798,0.75018563,0.0023492019
49,6.638619800000001,0.76500761,0.0017852289000000001
50,6.6688599,0.73166718,0.0017619773000000002
51,6.699100200000001,0.72989407,0.0019052809
52,6.729349900000001,0.7254694,0.0017966496
53,6.759589999999999,0.72332015,0.0018433098
54,6.7898302,0.73355502,0.0018951351
55,6.820069800000001,0.72248741,0.0019263294
56,6.8503098,0.72735212,0.0019457799
57,6.8805597999999994,0.72046256,0.001944255
58,6.9108,0.70303188,0.0019370955
59,6.9410398,0.7076905,0.0022253634
60,6.9712803,0.70752198,0.0019579509
61,7.001520299999999,0.70168669,0.0019635679
62,7.0317702,0.70246973,0.0019550076999999997
63,7.062009599999999,0.69070349,0.0019228172
64,7.092250099999999,0.69156489,0.0018851008999999999
65,7.122489999999999,0.69177049,0.0018506323000000002
66,7.1527304,0.68701919,0.001827558
67,7.182980099999999,0.68186163,0.0018303392000000001
68,7.21322,0.68556935,0.0018608859
69,7.243460300000001,0.68504581,0.0018984274
70,7.2737003,0.68748344,0.0019406289
71,7.3039398,0.6789622,0.0019642470999999997
72,7.3341899,0.6831297,0.0015850353
