,wavelength,flux,sigma
0,5.156760299999999,0.94041034,0.0033050675
1,5.1869997,0.90483738,0.0019109084
2,5.2172502,0.9194373,0.0022160854999999998
3,5.2474898,0.89804004,0.0020717594
4,5.27773,0.91562415,0.0015673401999999998
5,5.307970200000001,0.88695452,0.0014792472
6,5.3382100999999995,0.88652952,0.0014442752
7,5.3684601999999995,0.89342893,0.0014550286
8,5.3987002,0.88999139,0.0014048614000000002
9,5.4289399000000005,0.88840816,0.0019531779000000003
10,5.4591799000000005,0.8824223,0.0013433969
11,5.489419799999999,0.87557277,0.0013013666
12,5.519670099999999,0.87631225,0.0014797926000000002
13,5.54991,0.87596882,0.0012987253
14,5.58015,0.87602096,0.0012903012
15,5.6103904,0.86939702,0.0012758463
16,5.6406296,0.87220533,0.0012722064999999999
17,5.67088,0.87387889,0.0012605226
18,5.7011199,0.87239565,0.0012676367
19,5.73136,0.87394692,0.0012864031
20,5.7615998,0.86746057,0.0013206208999999999
21,5.7918399,0.86191776,0.0013499137
22,5.8220901,0.86266207,0.0013732832000000002
23,5.8523304000000005,0.86180693,0.001389099
24,5.8825699,0.86129199,0.0014467704000000001
25,5.9128097,0.85782071,0.0017195598000000001
26,5.9430498,0.8636161,0.0014468712
27,5.9732998,0.8544281,0.0014532357999999998
28,6.0035402,0.84438482,0.0014333132000000001
29,6.033779900000001,0.84822468,0.0014237831
30,6.064019999999999,0.85505278,0.0014060307999999998
31,6.09426,0.84844457,0.0013822917000000001
32,6.1245097,0.84012032,0.0013636291000000001
33,6.1547497,0.84538554,0.0013578268
34,6.184990099999999,0.84953568,0.0015633456
35,6.215229900000001,0.85095023,0.0013216103
36,6.2454700999999995,0.85489423,0.0013169826000000002
37,6.275720400000001,0.8503054,0.0015556654
38,6.305960400000001,0.84455974,0.0013111563
39,6.3362002,0.850372,0.001858844
40,6.3664399000000005,0.84936537,0.0013331156
41,6.3966799000000005,0.85302172,0.0013412175
42,6.4269300000000005,0.85769834,0.0013786564000000002
43,6.45717,0.84866764,0.0013660569000000001
44,6.48741,0.85541913,0.0019658139999999998
45,6.5176503,0.85460176,0.0014019025
46,6.5478903,0.85066097,0.0014557813
47,6.5781398,0.85742991,0.0015512453
48,6.6083797,0.86518024,0.0015192926000000002
