,wavelength,flux,sigma
0,5.1567604000000005,0.58196496,0.0043384669
1,5.1869997,0.55459344,0.0023136957
2,5.2172498,0.47052763,0.0018237923000000002
3,5.247489900000001,0.43795521,0.0017497385
4,5.277729900000001,0.44304692,0.0017678148000000002
5,5.3079699,0.45562565,0.0017064256
6,5.33821,0.44220181,0.0016355678
7,5.368460099999999,0.43389803,0.0016093293
8,5.398700099999999,0.43819249,0.001605099
9,5.4289401,0.44995703,0.0015802823
10,5.4591796,0.44372716,0.0015280805
11,5.4894202000000005,0.43290501,0.0014658172
12,5.5196698,0.42546815,0.0014407818
13,5.5499099,0.4226705,0.001433506
14,5.5801503,0.42341616,0.001436965
15,5.61039,0.42787791,0.0014368053
16,5.640629799999999,0.42473541,0.0017615017000000002
17,5.6708796999999995,0.42021481,0.0014211725
18,5.7011199999999995,0.42718607,0.0014191347
19,5.7313597000000005,0.42546498,0.0014422095
20,5.7616001,0.41694254,0.0014769867
21,5.7918400000000005,0.41633277,0.0015160412
22,5.82209,0.42254521,0.0015510734
23,5.8523302,0.42486307,0.0015799448
24,5.8825696,0.42875367,0.0016049251000000001
25,5.9128098,0.42310041,0.0016279985
26,5.9430499,0.42758681,0.0016538441
27,5.9733003,0.42015089,0.0016546873
28,6.0035403,0.41422712,0.0016526291000000001
29,6.0337798,0.4140688,0.0016375064
30,6.0640203,0.41091673,0.0017954694
31,6.094260500000001,0.40309079,0.0015816360999999998
32,6.1245097,0.41158543,0.0015668028
33,6.15475,0.4119329,0.0015474610999999998
34,6.18499,0.40112494,0.0014968566
35,6.2152301,0.39956455,0.0014996154
36,6.245470200000001,0.38965005,0.0014647307
37,6.275720099999999,0.386042,0.0014569783
38,6.30596,0.39050871,0.0014752184
39,6.336200099999999,0.38647362,0.0014881732
40,6.3664399000000005,0.39328754,0.0015044638
41,6.3966802000000005,0.40174176,0.0015116907999999998
42,6.4269300000000005,0.40842007,0.0015098921
43,6.4571702,0.4043695,0.0015130828
44,6.4874099,0.40488243,0.0015449131
45,6.51765,0.39275441,0.0015868152
46,6.5478903,0.3992041,0.0021446282
47,6.578139999999999,0.4028897,0.0022473175
48,6.6083799,0.42242045,0.0017669848000000001
49,6.6386199999999995,0.40331341,0.0017528784
50,6.6688597000000005,0.40102336,0.0017422551
51,6.6991,0.39930164,0.0017365867999999999
52,6.729350099999999,0.37796074,0.00172112
53,6.759590299999999,0.37974822,0.0017418742
54,6.7898301,0.37809334,0.0017590134
55,6.820069500000001,0.37909354,0.0017578862
56,6.8503099,0.37757527,0.0019586535
57,6.880559599999999,0.37714824,0.0017293028
58,6.9107996,0.37784346,0.0017165147
59,6.941039999999999,0.37513754,0.0019003554999999998
60,6.9712803,0.36835451,0.0017039229000000002
61,7.001519999999999,0.36497415,0.0017194409
62,7.0317705,0.37257945,0.0017291598000000001
63,7.0620098,0.38159336,0.0017190372
64,7.0922502000000005,0.37626871,0.0017028915
65,7.122490099999999,0.37109807,0.0016897479999999998
66,7.152730099999999,0.36480114,0.0016885073
67,7.182979700000001,0.36466635,0.0017155598999999998
68,7.2132203,0.36337888,0.0017691642000000002
69,7.243460300000001,0.35604923,0.0018336967000000001
70,7.2737,0.36343182,0.0019011407
71,7.3039399000000005,0.36786396,0.0019547646
72,7.3341899,0.37195142,0.0015359812
73,7.3644299,0.36702988,0.0019972939
74,7.39467,0.35728181,0.0012493334
75,7.4249102,0.3640833,0.0020192994
76,7.455150200000001,0.37484109,0.0013515856
77,7.485400099999999,0.36352369,0.002040949
78,7.5156398,0.36181736,0.0012653122
79,7.5458799,0.34379241,0.0020572534
80,7.5761199999999995,0.3570294,0.0012613497
81,7.6366,0.36093097,0.0016179332
82,7.697089999999999,0.37061507,0.0010333139
83,7.757569800000001,0.37389164,0.0010465306
84,7.818049799999999,0.37373457,0.001083026
85,7.8785400999999995,0.37260547,0.00084525959
86,7.939020299999999,0.38800688,0.00084281103
87,7.9995098,0.40031838,0.0008371440299999999
88,8.0599899,0.40751508,0.00082787863
89,8.1204701,0.4185989,0.00081905943
90,8.1809595,0.43035072,0.0008240072500000001
91,8.2414396,0.43929795,0.00082991784
92,8.301919900000001,0.45321825,0.00083613838
93,8.3624096,0.46857489,0.00083547718
94,8.422889699999999,0.46430268,0.0008704333900000001
95,8.4833696,0.45838932,0.00082020741
96,8.5438606,0.45867479,0.00085037743
97,8.6043394,0.46802474,0.0008989056300000001
98,8.664830300000002,0.50951223,0.0011352342
99,8.72531,0.51440937,0.0010186753999999998
100,8.7857907,0.52036233,0.0010096052
101,8.846280499999999,0.53253187,0.0010137497
102,8.9067599,0.52976953,0.0010154331
