,wavelength,flux,sigma
0,5.1567604000000005,0.13484746,0.0030103046000000003
1,5.1869999,0.14020874,0.0024187906
2,5.217250099999999,0.14160541,0.0013293104000000001
3,5.247490099999999,0.13628158,0.0012824535
4,5.277730200000001,0.13211088,0.0013024258000000001
5,5.3079700999999995,0.13831187,0.0013083186
6,5.3382102,0.13360379,0.0012938046000000002
7,5.368460400000001,0.12985338,0.0013141589999999999
8,5.3987,0.13352275,0.0013479565
9,5.42894,0.12775288,0.0013367338
10,5.4591797,0.13193296,0.0018717751999999999
11,5.48942,0.12796646,0.0017092054
12,5.5196698,0.13139419,0.0016930863
13,5.549910099999999,0.12393318,0.0018675197
14,5.5801503,0.12726907,0.0018921901999999998
15,5.6103903,0.12929991,0.0014553004
16,5.640630000000001,0.13034463,0.0016051701000000002
17,5.6708796999999995,0.12410294,0.0011865411
18,5.7011199999999995,0.12865048,0.0011661494
19,5.7313599,0.12852282,0.0011579916000000001
20,5.7616,0.1287386,0.0011642989
21,5.7918404,0.12552431,0.0011661386
22,5.8220902,0.12237856,0.0011609624000000001
23,5.8523305,0.12583048,0.0011638587
24,5.8825699,0.12848079,0.0011693394
25,5.9128096,0.12749114,0.0011849413
26,5.9430501,0.12626666,0.0011979355
27,5.9733,0.1246387,0.0012209344
28,6.0035400999999995,0.12598954,0.0012443217
29,6.0337800999999995,0.12443827,0.0015341197
30,6.0640203,0.12711408,0.0012990183
31,6.0942601,0.12533306,0.0013085337
32,6.1245096,0.12477059,0.0013202407
33,6.15475,0.12512614,0.0013438719
34,6.184990099999999,0.11835466,0.0013462209
35,6.215229900000001,0.12072261,0.0013420094
36,6.245470200000001,0.12259644,0.0013338659
37,6.27572,0.11992953,0.001325593
38,6.305960099999999,0.12189193,0.0013416751
39,6.3362003,0.12166709,0.0013438887
40,6.3664398,0.12168755,0.0013318782000000002
41,6.396679799999999,0.1222293,0.0013025333
42,6.4269301,0.12203333,0.0012688505
43,6.4571699,0.11964588,0.001238669
44,6.487410400000001,0.11843968,0.0012372619
45,6.51765,0.1240224,0.0012505796000000001
46,6.5478903,0.12233665,0.0012856698
47,6.5781398,0.12403131,0.0013205849
48,6.60838,0.12974688,0.0013249574
49,6.6386201,0.12704025,0.0013208701999999999
50,6.6688599,0.12334468,0.0013084938
51,6.699099799999999,0.11879827,0.0013129067000000002
52,6.7293503,0.12097359,0.0013485295000000002
53,6.7595902,0.12137561,0.0014083651999999998
54,6.7898304000000005,0.12392045,0.0014744209
55,6.8200697,0.12593379,0.0015240901000000001
56,6.8503101,0.12723161,0.0015589938000000001
57,6.880559900000001,0.12134721,0.0017408014
58,6.910800200000001,0.11864205,0.0015926444
59,6.9410398,0.11613462,0.0016127334
60,6.9712802,0.12380424,0.0020905959
61,7.0015203999999995,0.12390132,0.0016556021
62,7.0317703,0.12055182,0.0017002881
63,7.062009599999999,0.11234066,0.0015969541
64,7.092250099999999,0.11941679,0.0015564401000000001
65,7.1224898,0.11814231,0.0015081911
66,7.1527297999999995,0.11773924,0.0014759774
67,7.182980099999999,0.12471024,0.0014707313
68,7.2132201,0.11934767,0.0014853844
69,7.243460000000001,0.11411707,0.0015118676999999999
70,7.273700099999999,0.11694365,0.0015475436
71,7.3039397,0.11742793,0.0015671635999999999
72,7.3341898,0.1191478,0.0012016028
73,7.3644296,0.11962887,0.0015979567000000002
74,7.39467,0.12211793,0.0009747541900000001
75,7.424910000000001,0.12267186,0.0016679506
76,7.455150200000001,0.12052033,0.0012469705
77,7.485400200000001,0.11503738,0.0022727104
78,7.515639999999999,0.12029009,0.0010716828999999999
79,7.5458799,0.12177634,0.0026481158
80,7.576119900000001,0.1168751,0.0012422947
81,7.636599799999999,0.11944505,0.0017496372
82,7.6970902,0.11667775,0.00071765865
83,7.757569900000001,0.11947305,0.0006986438400000001
84,7.81805,0.11993083,0.00069000102
85,7.8785400999999995,0.12121388,0.00074188425
86,7.939020299999999,0.1181227,0.0006845731699999999
87,7.9995099000000005,0.12258682,0.00066839715
88,8.059989999999999,0.1277237,0.00065476889
89,8.12047,0.13297513,0.00065016324
90,8.1809597,0.13284156,0.00064845709
91,8.241439900000001,0.13375978,0.00064605932
92,8.301919900000001,0.13892658,0.00064591913
93,8.3624097,0.14458657,0.00065415918
94,8.4228898,0.14414396,0.00075290285
95,8.483369699999999,0.14835765,0.00064616492
96,8.5438602,0.14796596,0.0006861250900000001
97,8.6043397,0.15126482,0.00069605667
98,8.66483,0.15931605,0.00077252943
99,8.7253101,0.16144508,0.0010517538
100,8.7857903,0.16207306,0.0008184638700000001
101,8.8462804,0.16180422,0.00076414203
102,8.906760499999999,0.16466486,0.0010877251
103,8.967240199999999,0.1711314,0.00078597643
104,9.027730199999999,0.174454,0.0007952253
105,9.0882103,0.18057578,0.0011020927999999999
106,9.1486901,0.18516595,0.00079455329
107,9.2091801,0.18633076,0.0007966032300000001
108,9.269659800000001,0.19147704,0.00079922114
109,9.3301499,0.18202502,0.0011253206
110,9.390629800000001,0.18864299,0.0008016113799999999
111,9.4511099,0.1867568,0.0007985162700000001
112,9.5115993,0.18032379,0.00078843607
113,9.5720795,0.18087738,0.00078124639
114,9.63256,0.17955819,0.00079482681
115,9.6930506,0.17695604,0.0007623252000000001
116,9.753529499999999,0.17529908,0.00076031413
117,9.814009800000001,0.1811187,0.00076531697
118,9.874500099999999,0.17929668,0.0008985142999999999
119,9.9349802,0.17926707,0.0008057827400000001
120,9.995469900000002,0.17997393,0.00098468526
121,10.05595,0.17811114,0.00094711457
122,10.116430000000001,0.17657939,0.0010767129
123,10.176919999999999,0.17666529,0.0010500171000000001
124,10.2374,0.18622148,0.0007677722500000001
125,10.297880000000001,0.17824078,0.0010434902
126,10.358369999999999,0.17504541,0.00078159292
127,10.41885,0.17588915,0.00078705056
128,10.479330000000001,0.18176948,0.0007936892299999999
129,10.539819999999999,0.17935912,0.00079384223
130,10.6003,0.18137055,0.0011129242
131,10.660791,0.17701446,0.0011027637
132,10.72127,0.17959291,0.0011101844
133,10.781749000000001,0.18075258,0.0010613327000000001
134,10.842239999999999,0.17843126,0.00081133392
135,10.90272,0.17640965,0.001129828
136,10.9632,0.17738547,0.0011386092
137,11.023691,0.17678644,0.0010819799000000001
138,11.08417,0.17991329,0.00081598607
139,11.14465,0.17878707,0.00082085516
140,11.20514,0.17604973,0.0008180636200000001
141,11.26562,0.17489137,0.00081822476
142,11.32611,0.17973911,0.0008213863400000001
143,11.38659,0.17605061,0.00081696671
144,11.44707,0.17401462,0.0009851171800000001
145,11.50756,0.17141494,0.00082902731
146,11.56804,0.17238271,0.0009635097400000001
147,11.62852,0.16743007,0.0008304689699999999
148,11.689010000000001,0.17080435,0.0008373492999999999
149,11.74949,0.16514775,0.0008915904699999999
150,11.809969,0.15779014,0.00082622474
